,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
2,3,Özbay Cansu ,S,0,0,0,0,,TUR,SET,5,16,11831,1
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SET,5,16,11831,1
4,5,Ercan Seyma ,OH,0,0,0,0,,TUR,SET,5,16,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,SET,5,16,11831,1
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,SET,5,16,11831,1
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,SET,5,16,11831,1
8,9,Diken Meliha ,O,0,0,0,0,,TUR,SET,5,16,11831,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SET,5,16,11831,1
10,13,Boz Meryem ,O,0,0,0,0,,TUR,SET,5,16,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,0,0,,TUR,SET,5,16,11831,1
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,SET,5,16,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,SET,5,16,11831,1
0,7,Jaksic Ana ,S,8,0,124,132,6.06,SRB,SET,0,0,11831,
1,23,Djordjevic Mila ,S,1,0,28,29,3.45,SRB,SET,0,0,11831,
2,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,0,0,11831,
3,3,Caric Sara ,O,0,0,0,0,,SRB,SET,0,0,11831,
4,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,0,0,11831,
5,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,0,0,11831,
6,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,0,0,11831,
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,0,0,11831,
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,0,0,11831,
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,0,0,11831,
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,0,0,11831,
11,31,Djurdjevic Sanja ,L,0,0,3,3,0.00,SRB,SET,0,0,11831,
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,0,0,11831,
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,0,0,11831,
0,23,Djordjevic Mila ,S,1,0,14,15,6.67,SRB,SET,1,21,11831,0
1,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,1,21,11831,0
2,3,Caric Sara ,O,0,0,0,0,,SRB,SET,1,21,11831,0
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,1,21,11831,0
4,7,Jaksic Ana ,S,0,0,10,10,0.00,SRB,SET,1,21,11831,0
5,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,1,21,11831,0
6,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,1,21,11831,0
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,1,21,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,1,21,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,1,21,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,1,21,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SET,1,21,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,1,21,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,1,21,11831,0
0,7,Jaksic Ana ,S,2,0,23,25,8.00,SRB,SET,2,25,11831,1
1,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,2,25,11831,1
2,3,Caric Sara ,O,0,0,0,0,,SRB,SET,2,25,11831,1
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,2,25,11831,1
4,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,2,25,11831,1
5,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,2,25,11831,1
6,23,Djordjevic Mila ,S,0,0,6,6,0.00,SRB,SET,2,25,11831,1
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,2,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,2,25,11831,1
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,2,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,2,25,11831,1
11,31,Djurdjevic Sanja ,L,0,0,1,1,0.00,SRB,SET,2,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,2,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,2,25,11831,1
0,7,Jaksic Ana ,S,2,0,22,24,8.33,SRB,SET,3,23,11831,0
1,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,3,23,11831,0
2,3,Caric Sara ,O,0,0,0,0,,SRB,SET,3,23,11831,0
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,3,23,11831,0
4,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,3,23,11831,0
5,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,3,23,11831,0
6,23,Djordjevic Mila ,S,0,0,3,3,0.00,SRB,SET,3,23,11831,0
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,3,23,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,3,23,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,3,23,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,3,23,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SET,3,23,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,3,23,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,3,23,11831,0
0,7,Jaksic Ana ,S,2,0,37,39,5.13,SRB,SET,4,25,11831,1
1,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,4,25,11831,1
2,3,Caric Sara ,O,0,0,0,0,,SRB,SET,4,25,11831,1
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,4,25,11831,1
4,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,4,25,11831,1
5,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,4,25,11831,1
6,23,Djordjevic Mila ,S,0,0,5,5,0.00,SRB,SET,4,25,11831,1
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,4,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,4,25,11831,1
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,4,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,4,25,11831,1
11,31,Djurdjevic Sanja ,L,0,0,2,2,0.00,SRB,SET,4,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,4,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,4,25,11831,1
0,7,Jaksic Ana ,S,2,0,32,34,5.88,SRB,SET,5,14,11831,0
1,2,Lazovic Katarina (C),OH,0,0,0,0,,SRB,SET,5,14,11831,0
2,3,Caric Sara ,O,0,0,0,0,,SRB,SET,5,14,11831,0
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SET,5,14,11831,0
4,21,Kocic Jovana ,MB,0,0,0,0,,SRB,SET,5,14,11831,0
5,22,Lozo Sara ,O,0,0,0,0,,SRB,SET,5,14,11831,0
6,23,Djordjevic Mila ,S,0,0,0,0,,SRB,SET,5,14,11831,0
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,SET,5,14,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SET,5,14,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SET,5,14,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SET,5,14,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SET,5,14,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SET,5,14,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SET,5,14,11831,0
0,24,Momii Aki ,S,21,1,52,74,27.03,JPN,SET,0,0,11833,
1,9,Tashiro Kanami ,S,1,0,14,15,6.67,JPN,SET,0,0,11833,
2,1,Kurogo Ai ,OH,0,0,0,0,,JPN,SET,0,0,11833,
3,2,Nishida Sarina ,OH,0,0,0,0,,JPN,SET,0,0,11833,
4,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,SET,0,0,11833,
5,5,Araki Erika (C),MB,0,0,0,0,,JPN,SET,0,0,11833,
6,7,Ishii Yuki ,OH,0,0,0,0,,JPN,SET,0,0,11833,
7,8,Ishikawa Mayu ,OH,0,0,0,0,,JPN,SET,0,0,11833,
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,SET,0,0,11833,
9,14,Kobata Mako ,L,0,0,1,1,0.00,JPN,SET,0,0,11833,
10,15,Inoue Kotoe ,L,0,0,0,0,,JPN,SET,0,0,11833,
11,19,Yamada Nichika ,MB,0,0,0,0,,JPN,SET,0,0,11833,
12,20,Seki Nanami ,S,0,0,0,0,,JPN,SET,0,0,11833,
13,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,SET,0,0,11833,
0,24,Momii Aki ,S,5,0,16,21,23.81,JPN,SET,1,25,11833,1
1,9,Tashiro Kanami ,S,1,0,7,8,12.50,JPN,SET,1,25,11833,1
2,1,Kurogo Ai ,OH,0,0,0,0,,JPN,SET,1,25,11833,1
3,2,Nishida Sarina ,OH,0,0,0,0,,JPN,SET,1,25,11833,1
4,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,SET,1,25,11833,1
5,5,Araki Erika (C),MB,0,0,0,0,,JPN,SET,1,25,11833,1
6,7,Ishii Yuki ,OH,0,0,0,0,,JPN,SET,1,25,11833,1
7,8,Ishikawa Mayu ,OH,0,0,0,0,,JPN,SET,1,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,SET,1,25,11833,1
9,14,Kobata Mako ,L,0,0,1,1,0.00,JPN,SET,1,25,11833,1
10,15,Inoue Kotoe ,L,0,0,0,0,,JPN,SET,1,25,11833,1
11,19,Yamada Nichika ,MB,0,0,0,0,,JPN,SET,1,25,11833,1
12,20,Seki Nanami ,S,0,0,0,0,,JPN,SET,1,25,11833,1
13,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,SET,1,25,11833,1
0,24,Momii Aki ,S,9,1,19,29,27.59,JPN,SET,2,25,11833,1
1,1,Kurogo Ai ,OH,0,0,0,0,,JPN,SET,2,25,11833,1
2,2,Nishida Sarina ,OH,0,0,0,0,,JPN,SET,2,25,11833,1
3,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,SET,2,25,11833,1
4,5,Araki Erika (C),MB,0,0,0,0,,JPN,SET,2,25,11833,1
5,7,Ishii Yuki ,OH,0,0,0,0,,JPN,SET,2,25,11833,1
6,8,Ishikawa Mayu ,OH,0,0,0,0,,JPN,SET,2,25,11833,1
7,9,Tashiro Kanami ,S,0,0,0,0,,JPN,SET,2,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,SET,2,25,11833,1
9,14,Kobata Mako ,L,0,0,0,0,,JPN,SET,2,25,11833,1
10,15,Inoue Kotoe ,L,0,0,0,0,,JPN,SET,2,25,11833,1
11,19,Yamada Nichika ,MB,0,0,0,0,,JPN,SET,2,25,11833,1
12,20,Seki Nanami ,S,0,0,0,0,,JPN,SET,2,25,11833,1
13,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,SET,2,25,11833,1
0,24,Momii Aki ,S,7,0,17,24,29.17,JPN,SET,3,25,11833,1
1,1,Kurogo Ai ,OH,0,0,0,0,,JPN,SET,3,25,11833,1
2,2,Nishida Sarina ,OH,0,0,0,0,,JPN,SET,3,25,11833,1
3,3,Shimamura Haruyo ,MB,0,0,0,0,,JPN,SET,3,25,11833,1
4,5,Araki Erika (C),MB,0,0,0,0,,JPN,SET,3,25,11833,1
5,7,Ishii Yuki ,OH,0,0,0,0,,JPN,SET,3,25,11833,1
6,8,Ishikawa Mayu ,OH,0,0,0,0,,JPN,SET,3,25,11833,1
7,9,Tashiro Kanami ,S,0,0,7,7,0.00,JPN,SET,3,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,SET,3,25,11833,1
9,14,Kobata Mako ,L,0,0,0,0,,JPN,SET,3,25,11833,1
10,15,Inoue Kotoe ,L,0,0,0,0,,JPN,SET,3,25,11833,1
11,19,Yamada Nichika ,MB,0,0,0,0,,JPN,SET,3,25,11833,1
12,20,Seki Nanami ,S,0,0,0,0,,JPN,SET,3,25,11833,1
13,21,Hayashi Kotona ,OH,0,0,0,0,,JPN,SET,3,25,11833,1
0,13,Tomkom Nootsara ,S,9,4,72,85,5.88,THA,SET,0,0,11833,
1,3,ManaKij Sirima ,S,1,0,7,8,12.50,THA,SET,0,0,11833,
2,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SET,0,0,11833,
3,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,SET,0,0,11833,
4,6,Sittirak Onuma ,OH,0,0,0,0,,THA,SET,0,0,11833,
5,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SET,0,0,11833,
6,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,SET,0,0,11833,
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SET,0,0,11833,
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SET,0,0,11833,
9,12,Chaisri Tapaphaipun ,L,0,0,1,1,0.00,THA,SET,0,0,11833,
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SET,0,0,11833,
11,15,Kanthong Malika ,O,0,0,0,0,,THA,SET,0,0,11833,
12,19,Krause Karina ,MB,0,0,0,0,,THA,SET,0,0,11833,
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SET,0,0,11833,
0,13,Tomkom Nootsara ,S,2,0,24,26,7.69,THA,SET,1,15,11833,0
1,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SET,1,15,11833,0
2,3,ManaKij Sirima ,S,0,0,0,0,,THA,SET,1,15,11833,0
3,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,SET,1,15,11833,0
4,6,Sittirak Onuma ,OH,0,0,0,0,,THA,SET,1,15,11833,0
5,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SET,1,15,11833,0
6,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,SET,1,15,11833,0
7,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,SET,1,15,11833,0
8,11,Hyapha Amporn ,MB,0,0,0,0,,THA,SET,1,15,11833,0
9,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,SET,1,15,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,SET,1,15,11833,0
11,15,Kanthong Malika ,O,0,0,0,0,,THA,SET,1,15,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,SET,1,15,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,SET,1,15,11833,0
0,13,Tomkom Nootsara ,S,3,3,20,26,0.00,THA,SET,2,17,11833,0
1,3,ManaKij Sirima ,S,1,0,3,4,25.00,THA,SET,2,17,11833,0
2,2,Pannoy Piyanut ,L,0,0,0,0,,THA,SET,2,17,11833,0
3,5,Thinkaow Pleumjit ,MB,0,0,0,0,,THA,SET,2,17,11833,0
4,6,Sittirak Onuma ,OH,0,0,0,0,,THA,SET,2,17,11833,0
5,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,SET,2,17,11833,0
