,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
11,14,Erdem Dündar Eda (C),MB,0,0,2,2,0.00,TUR,SERVE,4,22,11831,0
12,19,Kalac Asli ,MB,0,0,7,7,0.00,TUR,SERVE,4,22,11831,0
13,99,Karakurt Ebrar ,O,0,0,2,2,0.00,TUR,SERVE,4,22,11831,0
0,19,Kalac Asli ,MB,1,0,4,5,20.00,TUR,SERVE,5,16,11831,1
1,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,SERVE,5,16,11831,1
2,3,Özbay Cansu ,S,0,0,0,0,,TUR,SERVE,5,16,11831,1
3,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,SERVE,5,16,11831,1
4,5,Ercan Seyma ,OH,0,0,2,2,0.00,TUR,SERVE,5,16,11831,1
5,6,Akman Kubra ,MB,0,0,0,0,,TUR,SERVE,5,16,11831,1
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,SERVE,5,16,11831,1
7,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,SERVE,5,16,11831,1
8,9,Diken Meliha ,O,0,0,2,2,0.00,TUR,SERVE,5,16,11831,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,SERVE,5,16,11831,1
10,11,Aydemir Akyol Naz ,S,0,0,1,1,0.00,TUR,SERVE,5,16,11831,1
11,13,Boz Meryem ,O,0,0,2,2,0.00,TUR,SERVE,5,16,11831,1
12,14,Erdem Dündar Eda (C),MB,0,0,2,2,0.00,TUR,SERVE,5,16,11831,1
13,99,Karakurt Ebrar ,O,0,0,1,1,0.00,TUR,SERVE,5,16,11831,1
0,2,Lazovic Katarina (C),OH,5,2,23,30,10.00,SRB,SERVE,0,0,11831,
1,24,Medic Sofija ,MB,2,2,9,13,0.00,SRB,SERVE,0,0,11831,
2,21,Kocic Jovana ,MB,1,3,15,19,-10.53,SRB,SERVE,0,0,11831,
3,22,Lozo Sara ,O,1,3,9,13,-15.38,SRB,SERVE,0,0,11831,
4,3,Caric Sara ,O,0,4,9,13,-30.77,SRB,SERVE,0,0,11831,
5,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,0,0,11831,
6,7,Jaksic Ana ,S,0,0,14,14,0.00,SRB,SERVE,0,0,11831,
7,23,Djordjevic Mila ,S,0,0,1,1,0.00,SRB,SERVE,0,0,11831,
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,0,0,11831,
9,26,Savic Vanja ,O,0,1,1,2,-50.00,SRB,SERVE,0,0,11831,
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,0,0,11831,
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,0,0,11831,
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,0,0,11831,
13,34,Mirosavljevic Jovana ,OH,0,0,4,4,0.00,SRB,SERVE,0,0,11831,
0,2,Lazovic Katarina (C),OH,2,0,4,6,33.33,SRB,SERVE,1,21,11831,0
1,21,Kocic Jovana ,MB,1,0,6,7,14.29,SRB,SERVE,1,21,11831,0
2,3,Caric Sara ,O,0,2,1,3,-66.67,SRB,SERVE,1,21,11831,0
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,1,21,11831,0
4,7,Jaksic Ana ,S,0,0,0,0,,SRB,SERVE,1,21,11831,0
5,22,Lozo Sara ,O,0,1,1,2,-50.00,SRB,SERVE,1,21,11831,0
6,23,Djordjevic Mila ,S,0,0,1,1,0.00,SRB,SERVE,1,21,11831,0
7,24,Medic Sofija ,MB,0,0,2,2,0.00,SRB,SERVE,1,21,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,1,21,11831,0
9,26,Savic Vanja ,O,0,1,0,1,-100.00,SRB,SERVE,1,21,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,1,21,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,SERVE,1,21,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,SERVE,1,21,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,SERVE,1,21,11831,0
0,2,Lazovic Katarina (C),OH,1,0,8,9,11.11,SRB,SERVE,2,25,11831,1
1,24,Medic Sofija ,MB,1,1,2,4,0.00,SRB,SERVE,2,25,11831,1
2,3,Caric Sara ,O,0,0,3,3,0.00,SRB,SERVE,2,25,11831,1
3,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,SERVE,2,25,11831,1
4,7,Jaksic Ana ,S,0,0,2,2,0.00,SRB,SERVE,2,25,11831,1
5,21,Kocic Jovana ,MB,0,0,2,2,0.00,SRB,SERVE,2,25,11831,1
6,22,Lozo Sara ,O,0,1,1,2,-50.00,SRB,SERVE,2,25,11831,1
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,SERVE,2,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,SERVE,2,25,11831,1
9,26,Savic Vanja ,O,0,0,0,0,,SRB,SERVE,2,25,11831,1
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,SERVE,2,25,11831,1
