,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,BLOCK,4,21,13754,0
0,4,Da Silva Ana Carolina ,MB,6,3,6,15,20.00,BRA,BLOCK,0,0,13754,
1,2,Duarte Alecrim Diana ,MB,4,4,5,13,0.00,BRA,BLOCK,0,0,13754,
2,5,Zalewski Daroit Priscila ,OH,1,4,3,8,-37.50,BRA,BLOCK,0,0,13754,
3,16,Nascimento Kisy ,O,1,0,0,1,100.00,BRA,BLOCK,0,0,13754,
4,17,Bergmann Julia Isabelle ,OH,1,4,2,7,-42.86,BRA,BLOCK,0,0,13754,
5,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,BLOCK,0,0,13754,
6,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,BLOCK,0,0,13754,
7,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,BLOCK,0,0,13754,
8,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,BLOCK,0,0,13754,
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,BLOCK,0,0,13754,
10,14,Araujo Natália ,L,0,0,0,0,,BRA,BLOCK,0,0,13754,
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,BLOCK,0,0,13754,
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,BLOCK,0,0,13754,
13,24,Geraldo Teixeira Lorenne ,O,0,1,0,1,-100.00,BRA,BLOCK,0,0,13754,
0,4,Da Silva Ana Carolina ,MB,3,0,0,3,100.00,BRA,BLOCK,1,29,13754,1
1,2,Duarte Alecrim Diana ,MB,2,2,1,5,0.00,BRA,BLOCK,1,29,13754,1
2,5,Zalewski Daroit Priscila ,OH,1,2,0,3,-33.33,BRA,BLOCK,1,29,13754,1
3,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,BLOCK,1,29,13754,1
4,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,BLOCK,1,29,13754,1
5,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,BLOCK,1,29,13754,1
6,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,BLOCK,1,29,13754,1
7,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,BLOCK,1,29,13754,1
8,14,Araujo Natália ,L,0,0,0,0,,BRA,BLOCK,1,29,13754,1
9,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,BLOCK,1,29,13754,1
10,16,Nascimento Kisy ,O,0,0,0,0,,BRA,BLOCK,1,29,13754,1
11,17,Bergmann Julia Isabelle ,OH,0,0,0,0,,BRA,BLOCK,1,29,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,BLOCK,1,29,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,0,,BRA,BLOCK,1,29,13754,1
0,2,Duarte Alecrim Diana ,MB,1,2,2,5,-20.00,BRA,BLOCK,2,23,13754,0
1,4,Da Silva Ana Carolina ,MB,1,1,4,6,0.00,BRA,BLOCK,2,23,13754,0
2,5,Zalewski Daroit Priscila ,OH,0,0,1,1,0.00,BRA,BLOCK,2,23,13754,0
3,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,BLOCK,2,23,13754,0
4,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,BLOCK,2,23,13754,0
5,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,BLOCK,2,23,13754,0
6,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,BLOCK,2,23,13754,0
7,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,BLOCK,2,23,13754,0
8,14,Araujo Natália ,L,0,0,0,0,,BRA,BLOCK,2,23,13754,0
9,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,BLOCK,2,23,13754,0
10,16,Nascimento Kisy ,O,0,0,0,0,,BRA,BLOCK,2,23,13754,0
11,17,Bergmann Julia Isabelle ,OH,0,2,1,3,-66.67,BRA,BLOCK,2,23,13754,0
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,BLOCK,2,23,13754,0
13,24,Geraldo Teixeira Lorenne ,O,0,1,0,1,-100.00,BRA,BLOCK,2,23,13754,0
0,4,Da Silva Ana Carolina ,MB,2,2,1,5,0.00,BRA,BLOCK,3,27,13754,1
1,17,Bergmann Julia Isabelle ,OH,1,1,0,2,0.00,BRA,BLOCK,3,27,13754,1
2,2,Duarte Alecrim Diana ,MB,0,0,1,1,0.00,BRA,BLOCK,3,27,13754,1
3,5,Zalewski Daroit Priscila ,OH,0,1,2,3,-33.33,BRA,BLOCK,3,27,13754,1
4,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,BLOCK,3,27,13754,1
5,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,BLOCK,3,27,13754,1
6,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,BLOCK,3,27,13754,1
7,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,BLOCK,3,27,13754,1
8,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,BLOCK,3,27,13754,1
9,14,Araujo Natália ,L,0,0,0,0,,BRA,BLOCK,3,27,13754,1
10,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,BLOCK,3,27,13754,1
11,16,Nascimento Kisy ,O,0,0,0,0,,BRA,BLOCK,3,27,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,BLOCK,3,27,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,0,,BRA,BLOCK,3,27,13754,1
0,2,Duarte Alecrim Diana ,MB,1,0,1,2,50.00,BRA,BLOCK,4,25,13754,1
1,16,Nascimento Kisy ,O,1,0,0,1,100.00,BRA,BLOCK,4,25,13754,1
2,4,Da Silva Ana Carolina ,MB,0,0,1,1,0.00,BRA,BLOCK,4,25,13754,1
3,5,Zalewski Daroit Priscila ,OH,0,1,0,1,-100.00,BRA,BLOCK,4,25,13754,1
4,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,BLOCK,4,25,13754,1
5,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,BLOCK,4,25,13754,1
6,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,BLOCK,4,25,13754,1
7,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,BLOCK,4,25,13754,1
8,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,BLOCK,4,25,13754,1
9,14,Araujo Natália ,L,0,0,0,0,,BRA,BLOCK,4,25,13754,1
10,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,BLOCK,4,25,13754,1
11,17,Bergmann Julia Isabelle ,OH,0,1,1,2,-50.00,BRA,BLOCK,4,25,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,BLOCK,4,25,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,0,,BRA,BLOCK,4,25,13754,1
0,13,Wilhite Sarah ,OH,3,1,1,5,40.00,USA,BLOCK,0,0,13755,
1,16,Rettke Dana ,MB,3,4,3,10,-10.00,USA,BLOCK,0,0,13755,
2,30,Frantti Alexandra ,OH,2,0,2,4,50.00,USA,BLOCK,0,0,13755,
3,12,Thompson Jordan ,O,1,3,4,8,-25.00,USA,BLOCK,0,0,13755,
4,5,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,0,0,13755,
5,6,Dixon Tetori (C),MB,0,4,6,10,-40.00,USA,BLOCK,0,0,13755,
6,7,Carlini Lauren ,S,0,2,0,2,-100.00,USA,BLOCK,0,0,13755,
7,9,Rishel Madison Kingdon ,OH,0,0,0,0,,USA,BLOCK,0,0,13755,
8,10,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,0,0,13755,
9,11,Drews Andrea ,O,0,0,0,0,,USA,BLOCK,0,0,13755,
10,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,0,0,13755,
11,19,Gray Jenna ,S,0,0,0,0,,USA,BLOCK,0,0,13755,
12,22,White Kendall ,L,0,0,0,0,,USA,BLOCK,0,0,13755,
13,31,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,0,0,13755,
0,12,Thompson Jordan ,O,1,0,1,2,50.00,USA,BLOCK,1,25,13755,1
1,16,Rettke Dana ,MB,1,2,1,4,-25.00,USA,BLOCK,1,25,13755,1
2,5,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,1,25,13755,1
3,6,Dixon Tetori (C),MB,0,2,2,4,-50.00,USA,BLOCK,1,25,13755,1
4,7,Carlini Lauren ,S,0,0,0,0,,USA,BLOCK,1,25,13755,1
5,9,Rishel Madison Kingdon ,OH,0,0,0,0,,USA,BLOCK,1,25,13755,1
6,10,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,1,25,13755,1
7,11,Drews Andrea ,O,0,0,0,0,,USA,BLOCK,1,25,13755,1
8,13,Wilhite Sarah ,OH,0,0,0,0,,USA,BLOCK,1,25,13755,1
9,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,1,25,13755,1
10,19,Gray Jenna ,S,0,0,0,0,,USA,BLOCK,1,25,13755,1
11,22,White Kendall ,L,0,0,0,0,,USA,BLOCK,1,25,13755,1
12,30,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,1,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,1,25,13755,1
0,13,Wilhite Sarah ,OH,2,0,1,3,66.67,USA,BLOCK,2,25,13755,1
1,16,Rettke Dana ,MB,2,2,2,6,0.00,USA,BLOCK,2,25,13755,1
2,30,Frantti Alexandra ,OH,1,0,1,2,50.00,USA,BLOCK,2,25,13755,1
3,5,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,2,25,13755,1
4,6,Dixon Tetori (C),MB,0,2,1,3,-66.67,USA,BLOCK,2,25,13755,1
5,7,Carlini Lauren ,S,0,2,0,2,-100.00,USA,BLOCK,2,25,13755,1
6,9,Rishel Madison Kingdon ,OH,0,0,0,0,,USA,BLOCK,2,25,13755,1
