,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Kästner Pia ,S,20,0,72,92,21.74,GER,SET,0,0,13754,
1,5,Glaab Corina ,S,11,0,27,38,28.95,GER,SET,0,0,13754,
2,1,Bock Linda ,L,0,0,0,0,,GER,SET,0,0,13754,
3,4,Pogany Anna (C),L,0,0,10,10,0.00,GER,SET,0,0,13754,
4,6,Janiska Jennifer ,OH,0,0,7,7,0.00,GER,SET,0,0,13754,
5,7,Vanjak Ivana ,OH,0,0,0,0,,GER,SET,0,0,13754,
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,0,0,13754,
7,10,Stigrot Lena ,OH,0,0,2,2,0.00,GER,SET,0,0,13754,
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,0,0,13754,
9,13,Hippe Saskia ,O,0,0,2,2,0.00,GER,SET,0,0,13754,
10,14,Schölzel Marie ,MB,0,0,3,3,0.00,GER,SET,0,0,13754,
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,0,0,13754,
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,0,0,13754,
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,0,0,13754,
0,2,Kästner Pia ,S,7,0,29,36,19.44,GER,SET,1,27,13754,0
1,1,Bock Linda ,L,0,0,0,0,,GER,SET,1,27,13754,0
2,4,Pogany Anna (C),L,0,0,1,1,0.00,GER,SET,1,27,13754,0
3,5,Glaab Corina ,S,0,0,0,0,,GER,SET,1,27,13754,0
4,6,Janiska Jennifer ,OH,0,0,1,1,0.00,GER,SET,1,27,13754,0
5,7,Vanjak Ivana ,OH,0,0,0,0,,GER,SET,1,27,13754,0
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,1,27,13754,0
7,10,Stigrot Lena ,OH,0,0,1,1,0.00,GER,SET,1,27,13754,0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,1,27,13754,0
9,13,Hippe Saskia ,O,0,0,0,0,,GER,SET,1,27,13754,0
10,14,Schölzel Marie ,MB,0,0,0,0,,GER,SET,1,27,13754,0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,1,27,13754,0
0,2,Kästner Pia ,S,5,0,28,33,15.15,GER,SET,2,25,13754,1
1,1,Bock Linda ,L,0,0,0,0,,GER,SET,2,25,13754,1
2,4,Pogany Anna (C),L,0,0,6,6,0.00,GER,SET,2,25,13754,1
3,5,Glaab Corina ,S,0,0,0,0,,GER,SET,2,25,13754,1
4,6,Janiska Jennifer ,OH,0,0,5,5,0.00,GER,SET,2,25,13754,1
5,7,Vanjak Ivana ,OH,0,0,0,0,,GER,SET,2,25,13754,1
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,2,25,13754,1
7,10,Stigrot Lena ,OH,0,0,0,0,,GER,SET,2,25,13754,1
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,2,25,13754,1
9,13,Hippe Saskia ,O,0,0,0,0,,GER,SET,2,25,13754,1
10,14,Schölzel Marie ,MB,0,0,2,2,0.00,GER,SET,2,25,13754,1
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,2,25,13754,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,2,25,13754,1
0,5,Glaab Corina ,S,10,0,21,31,32.26,GER,SET,3,25,13754,0
1,2,Kästner Pia ,S,1,0,2,3,33.33,GER,SET,3,25,13754,0
2,1,Bock Linda ,L,0,0,0,0,,GER,SET,3,25,13754,0
3,4,Pogany Anna (C),L,0,0,3,3,0.00,GER,SET,3,25,13754,0
4,6,Janiska Jennifer ,OH,0,0,0,0,,GER,SET,3,25,13754,0
5,7,Vanjak Ivana ,OH,0,0,0,0,,GER,SET,3,25,13754,0
6,9,Alsmeier Lina ,OH,0,0,0,0,,GER,SET,3,25,13754,0
7,10,Stigrot Lena ,OH,0,0,0,0,,GER,SET,3,25,13754,0
8,12,Orthmann Hanna ,OH,0,0,0,0,,GER,SET,3,25,13754,0
9,13,Hippe Saskia ,O,0,0,0,0,,GER,SET,3,25,13754,0
10,14,Schölzel Marie ,MB,0,0,1,1,0.00,GER,SET,3,25,13754,0
11,21,Weitzel Camilla ,MB,0,0,0,0,,GER,SET,3,25,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,SET,3,25,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,SET,3,25,13754,0
0,2,Kästner Pia ,S,7,0,13,20,35.00,GER,SET,4,21,13754,0
1,5,Glaab Corina ,S,1,0,6,7,14.29,GER,SET,4,21,13754,0
