Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
12,22,Strubbe Monique ,MB,0,0,2,2,0.0,GER,SERVE,4,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,SERVE,4,25,16024,1.0
0,33,Marring Nova ,OH,2,2,9,13,0.0,NED,SERVE,0,0,16024,
1,14,Dijkema Laura (C),S,1,1,6,8,0.0,NED,SERVE,0,0,16024,
2,23,Timmerman Eline ,MB,1,3,10,14,-14.29,NED,SERVE,0,0,16024,
3,24,Mulder Vera ,OH,1,1,8,10,0.0,NED,SERVE,0,0,16024,
4,26,Dambrink Elles ,O,1,2,6,9,-11.11,NED,SERVE,0,0,16024,
5,1,Knip Kirsten ,L,0,0,0,0,,NED,SERVE,0,0,16024,
6,3,Jasper Hester ,OH,0,2,7,9,-22.22,NED,SERVE,0,0,16024,
7,5,Knollema Jolien ,OH,0,0,10,10,0.0,NED,SERVE,0,0,16024,
8,10,van Aalen Sarah ,S,0,0,4,4,0.0,NED,SERVE,0,0,16024,
9,13,de Haan Jolijn ,O,0,0,0,0,,NED,SERVE,0,0,16024,
10,16,Baijens Indy ,MB,0,4,5,9,-44.44,NED,SERVE,0,0,16024,
11,17,Vos Iris ,OH,0,0,2,2,0.0,NED,SERVE,0,0,16024,
12,21,Stuut Britte ,MB,0,0,3,3,0.0,NED,SERVE,0,0,16024,
13,25,Reesink Florien ,L,0,0,0,0,,NED,SERVE,0,0,16024,
0,14,Dijkema Laura (C),S,1,0,5,6,16.67,NED,SERVE,1,21,16024,0.0
1,26,Dambrink Elles ,O,1,1,1,3,0.0,NED,SERVE,1,21,16024,0.0
2,1,Knip Kirsten ,L,0,0,0,0,,NED,SERVE,1,21,16024,0.0
3,3,Jasper Hester ,OH,0,1,2,3,-33.33,NED,SERVE,1,21,16024,0.0
4,5,Knollema Jolien ,OH,0,0,3,3,0.0,NED,SERVE,1,21,16024,0.0
5,10,van Aalen Sarah ,S,0,0,0,0,,NED,SERVE,1,21,16024,0.0
6,13,de Haan Jolijn ,O,0,0,0,0,,NED,SERVE,1,21,16024,0.0
7,16,Baijens Indy ,MB,0,2,0,2,-100.0,NED,SERVE,1,21,16024,0.0
8,17,Vos Iris ,OH,0,0,0,0,,NED,SERVE,1,21,16024,0.0
9,21,Stuut Britte ,MB,0,0,0,0,,NED,SERVE,1,21,16024,0.0
10,23,Timmerman Eline ,MB,0,1,4,5,-20.0,NED,SERVE,1,21,16024,0.0
11,24,Mulder Vera ,OH,0,0,0,0,,NED,SERVE,1,21,16024,0.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,SERVE,1,21,16024,0.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,SERVE,1,21,16024,0.0
0,24,Mulder Vera ,OH,1,0,3,4,25.0,NED,SERVE,2,22,16024,0.0
1,1,Knip Kirsten ,L,0,0,0,0,,NED,SERVE,2,22,16024,0.0
2,3,Jasper Hester ,OH,0,1,1,2,-50.0,NED,SERVE,2,22,16024,0.0
3,5,Knollema Jolien ,OH,0,0,3,3,0.0,NED,SERVE,2,22,16024,0.0
4,10,van Aalen Sarah ,S,0,0,0,0,,NED,SERVE,2,22,16024,0.0
5,13,de Haan Jolijn ,O,0,0,0,0,,NED,SERVE,2,22,16024,0.0
6,14,Dijkema Laura (C),S,0,1,0,1,-100.0,NED,SERVE,2,22,16024,0.0
7,16,Baijens Indy ,MB,0,0,2,2,0.0,NED,SERVE,2,22,16024,0.0
8,17,Vos Iris ,OH,0,0,2,2,0.0,NED,SERVE,2,22,16024,0.0
9,21,Stuut Britte ,MB,0,0,0,0,,NED,SERVE,2,22,16024,0.0
10,23,Timmerman Eline ,MB,0,0,2,2,0.0,NED,SERVE,2,22,16024,0.0
11,25,Reesink Florien ,L,0,0,0,0,,NED,SERVE,2,22,16024,0.0
12,26,Dambrink Elles ,O,0,0,5,5,0.0,NED,SERVE,2,22,16024,0.0
13,33,Marring Nova ,OH,0,1,0,1,-100.0,NED,SERVE,2,22,16024,0.0
0,33,Marring Nova ,OH,1,0,5,6,16.67,NED,SERVE,3,25,16024,1.0
1,1,Knip Kirsten ,L,0,0,0,0,,NED,SERVE,3,25,16024,1.0
2,3,Jasper Hester ,OH,0,0,4,4,0.0,NED,SERVE,3,25,16024,1.0
3,5,Knollema Jolien ,OH,0,0,2,2,0.0,NED,SERVE,3,25,16024,1.0
