Country,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BEL,648,408,183,43,94,55,981,1015,241,48.400000000000006
BRA,727,376,160,182,169,49,980,1035,278,53.6
BUL,536,267,141,108,79,36,760,811,217,40.2
CAN,605,459,128,1,109,53,706,890,291,43.0
CHN,666,306,173,172,131,53,910,904,209,49.2
DOM,564,323,97,131,93,34,757,925,263,44.800000000000004
GER,649,451,166,20,73,58,856,923,240,46.2
ITA,792,312,162,295,139,55,916,1002,312,53.6
JPN,736,549,129,0,60,52,1111,933,208,48.800000000000004
KOR,418,228,108,78,64,33,585,869,271,39.0
NED,625,268,156,190,112,38,944,930,196,46.4
POL,598,439,150,0,109,48,832,921,291,45.400000000000006
SRB,811,241,163,370,154,55,1016,1207,293,57.4
THA,680,351,98,218,90,38,987,1027,241,49.4
TUR,764,230,246,275,159,51,844,1069,300,55.2
USA,677,365,132,165,119,59,837,842,225,44.2
