,Country,Ranking_scores,Attack_avg,Block_avg,Serve_avg,Dig_avg,Reception_avg,Error_avg
0,BEL,7.473086608766636,13.388429752066115,1.9421487603305783,1.1363636363636362,20.26859504132231,20.971074380165287,4.979338842975206
1,BRA,24.40933354500694,13.563432835820896,3.1529850746268657,0.914179104477612,18.283582089552237,19.309701492537314,5.186567164179104
2,BUL,14.748777265684218,13.333333333333332,1.9651741293532337,0.8955223880597014,18.90547263681592,20.17412935323383,5.398009950248756
3,CAN,3.544560361668231,14.069767441860465,2.5348837209302326,1.2325581395348837,16.41860465116279,20.697674418604652,6.767441860465116
4,CHN,12.366422561140293,13.536585365853657,2.66260162601626,1.0772357723577235,18.495934959349594,18.373983739837396,4.247967479674797
5,DOM,0.17896604774617964,12.589285714285715,2.075892857142857,0.7589285714285715,16.89732142857143,20.64732142857143,5.870535714285714
6,GER,7.607204867066308,14.047619047619047,1.58008658008658,1.2554112554112553,18.528138528138527,19.97835497835498,5.194805194805195
7,ITA,34.465077754322444,14.776119402985074,2.593283582089552,1.0261194029850746,17.089552238805968,18.69402985074627,5.820895522388059
8,JPN,15.323427366720818,15.081967213114755,1.2295081967213115,1.0655737704918034,22.766393442622952,19.118852459016395,4.262295081967213
9,KOR,-10.073099688199637,10.717948717948717,1.641025641025641,0.8461538461538461,15.0,22.28205128205128,6.948717948717949
10,NED,4.930870527985413,13.469827586206897,2.413793103448276,0.8189655172413793,20.344827586206897,20.04310344827586,4.224137931034483
11,POL,3.8390789644742767,13.171806167400879,2.4008810572687223,1.0572687224669601,18.32599118942731,20.2863436123348,6.4096916299559465
12,SRB,21.5413608259904,14.128919860627178,2.682926829268293,0.9581881533101045,17.70034843205575,21.027874564459932,5.104529616724739
13,THA,11.448541818951755,13.765182186234819,1.8218623481781377,0.7692307692307693,19.979757085020243,20.789473684210527,4.8785425101214575
14,TUR,10.54877808218946,13.840579710144926,2.8804347826086953,0.9239130434782609,15.289855072463768,19.365942028985508,5.434782608695652
15,USA,14.595169356124954,15.316742081447963,2.692307692307692,1.334841628959276,18.936651583710407,19.04977375565611,5.090497737556561
