,Country,Ranking_scores,Attack_avg,Block_avg,Serve_avg,Dig_avg,Reception_avg,Error_avg
0,BEL,25.781811346327288,12.189781021897812,2.208029197080292,1.3868613138686132,22.2992700729927,20.6021897810219,5.255474452554745
1,BRA,26.77087032467139,14.935064935064934,2.7705627705627704,0.974025974025974,20.216450216450216,16.688311688311686,4.0476190476190474
2,RUS,15.690069876011593,13.735849056603774,2.8679245283018866,1.0377358490566038,20.11320754716981,19.71698113207547,4.849056603773585
3,CAN,-2.255842873623297,12.270992366412214,2.480916030534351,1.1641221374045803,17.4618320610687,21.755725190839694,6.106870229007634
4,CHN,17.915563000487612,14.35897435897436,2.3626373626373627,0.8608058608058607,20.42124542124542,20.65934065934066,3.9377289377289375
5,DOM,10.58717458278482,13.861607142857144,2.1875,1.0714285714285714,19.977678571428573,20.357142857142858,5.803571428571429
6,GER,9.717763424277674,13.050847457627118,2.266949152542373,1.3135593220338981,16.03813559322034,20.86864406779661,6.949152542372881
7,ITA,0.954571957840151,13.028455284552845,1.9105691056910568,1.5447154471544715,19.756097560975608,20.040650406504064,6.341463414634146
8,JPN,24.84367413757475,14.754098360655739,1.8032786885245902,1.3729508196721312,20.86065573770492,18.565573770491806,4.159836065573771
9,KOR,-0.014476237619366117,11.092436974789916,1.4285714285714286,1.2394957983193278,20.0,21.365546218487395,5.42016806722689
10,NED,23.30403605731072,13.934426229508198,2.6434426229508197,1.3524590163934427,19.713114754098363,19.528688524590166,4.979508196721312
11,POL,6.034297461381307,13.764478764478765,2.7027027027027026,1.1776061776061777,19.401544401544403,20.61776061776062,5.405405405405405
12,SRB,-0.6922010974162194,12.750929368029741,2.5650557620817844,1.1524163568773236,20.780669144981413,20.76208178438662,6.245353159851302
13,THA,-2.882272171266876,11.061224489795919,0.8367346938775511,0.7346938775510204,19.571428571428573,20.775510204081634,3.5510204081632653
14,TUR,31.461039737796362,13.862815884476534,2.7617328519855597,1.6787003610108304,19.061371841155236,19.115523465703973,6.064981949458484
15,USA,24.18252019315298,15.133333333333333,2.422222222222222,1.8888888888888888,18.866666666666667,15.755555555555556,5.733333333333333
