,,Total Score,Match1,Match2,Match3,Match4,Match5
CRO,CRO,0:0,0:0,0:0,0:0,0:0,0:0
CRO,BRA,0:3,24-26,18-25,8-25,-,-
CRO,BUL,0:3,12-25,17-25,19-25,-,-
CRO,CAN,0:3,21-25,21-25,26-28,-,-
CRO,CHN,0:0,0:0,0:0,0:0,0:0,0:0
CRO,DOM,0:0,0:0,0:0,0:0,0:0,0:0
CRO,GER,0:3,18-25,23-25,23-25,-,-
CRO,ITA,0:0,0:0,0:0,0:0,0:0,0:0
CRO,JPN,0:3,17-25,19-25,20-25,-,-
CRO,KOR,0:0,0:0,0:0,0:0,0:0,0:0
CRO,NED,0:3,20-25,11-25,15-25,-,-
CRO,POL,0:0,0:0,0:0,0:0,0:0,0:0
CRO,SRB,0:0,0:0,0:0,0:0,0:0,0:0
CRO,THA,0:0,0:0,0:0,0:0,0:0,0:0
CRO,TUR,0:3,14-25,23-25,18-25,-,-
CRO,USA,1:3,25-17,22-25,18-25,15-25,-
BRA,CRO,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BUL,0:0,0:0,0:0,0:0,0:0,0:0
BRA,CAN,2:3,30-28,22-25,23-25,25-21,15-17
BRA,CHN,1:3,21-25,20-25,25-20,23-25,-
BRA,DOM,3:1,27-25,20-25,25-21,27-25,-
BRA,GER,3:1,25-22,25-18,22-25,25-17,-
BRA,ITA,3:2,26-28,25-20,19-25,25-21,15-10
BRA,JPN,0:0,0:0,0:0,0:0,0:0,0:0
BRA,KOR,3:0,31-29,25-16,25-16,-,-
BRA,NED,3:0,25-23,25-23,25-21,-,-
BRA,POL,0:0,0:0,0:0,0:0,0:0,0:0
BRA,SRB,3:2,23-25,25-22,21-25,25-12,15-11
BRA,THA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,TUR,0:3,22-25,16-25,22-25,-,-
BRA,USA,0:3,22-25,19-25,22-25,-,-
BUL,CRO,0:0,0:0,0:0,0:0,0:0,0:0
BUL,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,BUL,0:0,0:0,0:0,0:0,0:0,0:0
BUL,CAN,0:3,15-25,13-25,15-25,-,-
BUL,CHN,1:3,25-20,7-25,10-25,15-25,-
BUL,DOM,2:3,25-22,16-25,25-16,14-25,11-15
BUL,GER,0:0,0:0,0:0,0:0,0:0,0:0
BUL,ITA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,JPN,0:3,20-25,17-25,19-25,-,-
BUL,KOR,3:1,25-22,25-18,24-26,25-15,-
BUL,NED,0:3,24-26,17-25,17-25,-,-
BUL,POL,1:3,28-26,19-25,16-25,15-25,-
BUL,SRB,0:0,0:0,0:0,0:0,0:0,0:0
BUL,THA,0:0,0:0,0:0,0:0,0:0,0:0
BUL,TUR,0:0,0:0,0:0,0:0,0:0,0:0
BUL,USA,0:0,0:0,0:0,0:0,0:0,0:0
CAN,CRO,0:0,0:0,0:0,0:0,0:0,0:0
CAN,BRA,0:0,0:0,0:0,0:0,0:0,0:0
CAN,BUL,0:0,0:0,0:0,0:0,0:0,0:0
CAN,CAN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,CHN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,DOM,0:0,0:0,0:0,0:0,0:0,0:0
CAN,GER,0:0,0:0,0:0,0:0,0:0,0:0
CAN,ITA,2:3,25-22,23-25,14-25,26-24,10-15
CAN,JPN,0:0,0:0,0:0,0:0,0:0,0:0
CAN,KOR,3:0,25-17,25-16,25-18,-,-
CAN,NED,0:0,0:0,0:0,0:0,0:0,0:0
CAN,POL,0:0,0:0,0:0,0:0,0:0,0:0
CAN,SRB,3:2,18-25,28-26,25-23,18-25,15-12
CAN,THA,0:3,17-25,24-26,21-25,-,-
CAN,TUR,0:0,0:0,0:0,0:0,0:0,0:0
CAN,USA,0:0,0:0,0:0,0:0,0:0,0:0
CHN,CRO,0:0,0:0,0:0,0:0,0:0,0:0
CHN,BRA,3:2,25-23,22-25,25-20,20-25,15-12
CHN,BUL,0:0,0:0,0:0,0:0,0:0,0:0
CHN,CAN,3:0,25-14,25-18,29-27,-,-
CHN,CHN,0:0,0:0,0:0,0:0,0:0,0:0
CHN,DOM,2:3,25-20,20-25,25-22,20-25,13-15
CHN,GER,3:0,25-19,25-20,25-22,-,-
CHN,ITA,0:0,0:0,0:0,0:0,0:0,0:0
CHN,JPN,0:0,0:0,0:0,0:0,0:0,0:0
CHN,KOR,0:0,0:0,0:0,0:0,0:0,0:0
CHN,NED,3:1,27-25,23-25,25-22,25-20,-
CHN,POL,0:0,0:0,0:0,0:0,0:0,0:0
CHN,SRB,1:3,13-25,25-17,23-25,20-25,-
CHN,THA,0:0,0:0,0:0,0:0,0:0,0:0
CHN,TUR,1:3,22-25,25-22,19-25,16-25,-
CHN,USA,3:2,18-25,25-19,19-25,25-20,15-8
DOM,CRO,0:0,0:0,0:0,0:0,0:0,0:0
DOM,BRA,0:0,0:0,0:0,0:0,0:0,0:0
DOM,BUL,0:0,0:0,0:0,0:0,0:0,0:0
DOM,CAN,3:2,22-25,25-13,25-17,23-25,15-10
DOM,CHN,0:0,0:0,0:0,0:0,0:0,0:0
DOM,DOM,0:0,0:0,0:0,0:0,0:0,0:0
DOM,GER,0:0,0:0,0:0,0:0,0:0,0:0
DOM,ITA,2:3,16-25,25-16,25-21,22-25,10-15
DOM,JPN,0:0,0:0,0:0,0:0,0:0,0:0
DOM,KOR,3:0,25-18,25-18,25-16,-,-
DOM,NED,3:2,25-18,22-25,25-18,21-25,15-11
DOM,POL,1:3,23-25,28-30,25-23,17-25,-
