,Attack,Attack,Attack,Attack,Block,Serve,Dig,Reception,Error,Turns
,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BEL,251,175,76,0,37,33,360,369,102,18.6
BRA,423,311,102,9,83,23,606,512,111,28.0
RUS,235,125,48,55,40,34,330,344,68,17.6
CAN,209,135,54,17,32,17,336,369,101,16.6
CHN,256,152,52,50,51,21,280,269,48,16.0
DOM,358,246,74,32,35,24,577,483,118,24.200000000000003
GER,268,140,66,50,43,36,366,390,120,18.6
ITA,327,189,75,62,54,26,476,490,139,23.2
JPN,364,278,79,0,32,30,654,508,106,25.6
KOR,289,237,48,0,38,22,437,422,103,20.2
NED,289,144,69,64,31,20,429,414,105,19.2
POL,273,101,49,118,48,24,384,408,93,19.6
SRB,149,49,20,71,40,19,286,358,94,16.0
THA,236,100,80,49,8,14,389,356,72,17.0
TUR,353,97,93,150,52,29,468,477,162,24.0
USA,357,156,88,106,67,35,515,482,123,24.0
