,,Total Score,Match1,Match2,Match3,Match4,Match5
BEL,BEL,0:0,0:0,0:0,0:0,0:0,0:0
BEL,BRA,0:3,18-25,16-25,17-25,-,-
BEL,RUS,2:3,25-23,25-21,19-25,19-25,8-15
BEL,CAN,3:0,26-24,25-17,25-17,-,-
BEL,CHN,0:0,0:0,0:0,0:0,0:0,0:0
BEL,DOM,3:2,31-33,19-25,25-20,25-16,15-11
BEL,GER,0:0,0:0,0:0,0:0,0:0,0:0
BEL,ITA,3:2,25-17,20-25,22-25,25-17,15-10
BEL,JPN,1:3,25-23,22-25,21-25,21-25,-
BEL,KOR,3:2,23-25,25-23,25-16,19-25,15-12
BEL,NED,0:0,0:0,0:0,0:0,0:0,0:0
BEL,POL,3:2,25-15,17-25,25-19,22-25,15-12
BEL,SRB,3:2,23-25,26-24,25-21,23-25,15-10
BEL,THA,0:0,0:0,0:0,0:0,0:0,0:0
BEL,TUR,0:0,0:0,0:0,0:0,0:0,0:0
BEL,USA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BEL,0:0,0:0,0:0,0:0,0:0,0:0
BRA,BRA,0:0,0:0,0:0,0:0,0:0,0:0
BRA,RUS,3:0,25-20,25-11,25-18,-,-
BRA,CAN,3:1,23-25,25-11,25-9,25-14,-
BRA,CHN,0:0,0:0,0:0,0:0,0:0,0:0
BRA,DOM,3:0,25-20,25-13,25-17,-,-
BRA,GER,0:0,0:0,0:0,0:0,0:0,0:0
BRA,ITA,3:1,19-25,25-15,25-19,25-19,-
BRA,JPN,3:1,25-15,25-23,29-31,25-16,-
BRA,KOR,0:0,0:0,0:0,0:0,0:0,0:0
BRA,NED,3:0,25-19,25-19,25-20,-,-
BRA,POL,0:0,0:0,0:0,0:0,0:0,0:0
BRA,SRB,3:0,25-12,25-14,25-13,-,-
BRA,THA,3:0,25-11,25-14,25-10,-,-
BRA,TUR,3:1,25-18,25-16,25-27,25-15,-
BRA,USA,1:3,28-26,23-25,23-25,21-25,-
