,Attack,Attack,Attack,Attack,Block,Serve,Dig,Reception,Error,Turns
,Total,OH,MB,OP,Block,Serve,Dig,Reception,Error,Turns
BEL,320,241,76,0,41,30,448,493,132,24.4
BRA,248,180,56,11,54,19,288,291,73,17.0
RUS,264,157,34,64,50,23,386,429,107,20.6
CAN,291,202,70,11,52,27,389,506,144,23.2
CHN,264,188,64,8,57,29,369,440,93,22.2
DOM,301,181,57,60,38,28,455,454,122,21.6
GER,286,173,62,39,45,38,313,437,144,21.2
ITA,249,125,50,72,40,24,352,400,134,19.2
JPN,304,242,59,0,36,31,300,374,79,19.6
KOR,282,223,56,1,36,23,400,453,122,21.6
NED,288,132,90,56,55,30,418,397,123,21.6
POL,317,68,58,182,60,35,469,512,146,24.2
SRB,286,116,49,113,72,24,470,457,158,22.6
THA,200,88,71,29,13,16,365,406,74,19.0
TUR,318,68,92,151,59,31,442,425,118,22.2
USA,297,132,71,85,49,31,349,307,106,19.0
