,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,4,22,11831,0
11,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,BLOCK,4,22,11831,0
12,13,Boz Meryem ,O,0,0,1,1,0.00,TUR,BLOCK,4,22,11831,0
13,14,Erdem Dündar Eda (C),MB,0,2,3,5,-40.00,TUR,BLOCK,4,22,11831,0
0,9,Diken Meliha ,O,2,0,0,2,100.00,TUR,BLOCK,5,16,11831,1
1,3,Özbay Cansu ,S,1,0,0,1,100.00,TUR,BLOCK,5,16,11831,1
2,13,Boz Meryem ,O,1,0,0,1,100.00,TUR,BLOCK,5,16,11831,1
3,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,5,16,11831,1
4,4,Ivegin Tugba ,OH,0,0,0,0,,TUR,BLOCK,5,16,11831,1
5,5,Ercan Seyma ,OH,0,0,0,0,,TUR,BLOCK,5,16,11831,1
6,6,Akman Kubra ,MB,0,0,0,0,,TUR,BLOCK,5,16,11831,1
7,7,Baladin Hande ,OH,0,0,0,0,,TUR,BLOCK,5,16,11831,1
8,8,Guveli Yasemin ,MB,0,0,0,0,,TUR,BLOCK,5,16,11831,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,5,16,11831,1
10,11,Aydemir Akyol Naz ,S,0,1,0,1,-100.00,TUR,BLOCK,5,16,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,5,5,0.00,TUR,BLOCK,5,16,11831,1
12,19,Kalac Asli ,MB,0,0,3,3,0.00,TUR,BLOCK,5,16,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,0,,TUR,BLOCK,5,16,11831,1
0,21,Kocic Jovana ,MB,6,10,5,21,-19.05,SRB,BLOCK,0,0,11831,
1,3,Caric Sara ,O,4,1,2,7,42.86,SRB,BLOCK,0,0,11831,
2,24,Medic Sofija ,MB,4,2,6,12,16.67,SRB,BLOCK,0,0,11831,
3,2,Lazovic Katarina (C),OH,2,4,4,10,-20.00,SRB,BLOCK,0,0,11831,
4,7,Jaksic Ana ,S,1,1,3,5,0.00,SRB,BLOCK,0,0,11831,
5,22,Lozo Sara ,O,1,0,2,3,33.33,SRB,BLOCK,0,0,11831,
6,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,0,0,11831,
7,23,Djordjevic Mila ,S,0,0,1,1,0.00,SRB,BLOCK,0,0,11831,
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,0,0,11831,
9,26,Savic Vanja ,O,0,1,1,2,-50.00,SRB,BLOCK,0,0,11831,
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,0,0,11831,
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,0,0,11831,
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,0,0,11831,
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,0,0,11831,
0,3,Caric Sara ,O,1,1,0,2,0.00,SRB,BLOCK,1,21,11831,0
1,2,Lazovic Katarina (C),OH,0,1,1,2,-50.00,SRB,BLOCK,1,21,11831,0
2,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,1,21,11831,0
3,7,Jaksic Ana ,S,0,0,0,0,,SRB,BLOCK,1,21,11831,0
4,21,Kocic Jovana ,MB,0,1,0,1,-100.00,SRB,BLOCK,1,21,11831,0
5,22,Lozo Sara ,O,0,0,0,0,,SRB,BLOCK,1,21,11831,0
6,23,Djordjevic Mila ,S,0,0,0,0,,SRB,BLOCK,1,21,11831,0
7,24,Medic Sofija ,MB,0,0,0,0,,SRB,BLOCK,1,21,11831,0
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,1,21,11831,0
9,26,Savic Vanja ,O,0,0,0,0,,SRB,BLOCK,1,21,11831,0
10,28,Delic Jelena ,MB,0,0,0,0,,SRB,BLOCK,1,21,11831,0
11,31,Djurdjevic Sanja ,L,0,0,0,0,,SRB,BLOCK,1,21,11831,0
12,32,Gocanin Bojana ,L,0,0,0,0,,SRB,BLOCK,1,21,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,0,,SRB,BLOCK,1,21,11831,0
0,21,Kocic Jovana ,MB,2,1,0,3,33.33,SRB,BLOCK,2,25,11831,1
1,2,Lazovic Katarina (C),OH,1,0,1,2,50.00,SRB,BLOCK,2,25,11831,1
2,7,Jaksic Ana ,S,1,0,1,2,50.00,SRB,BLOCK,2,25,11831,1
3,24,Medic Sofija ,MB,1,1,0,2,0.00,SRB,BLOCK,2,25,11831,1
4,3,Caric Sara ,O,0,0,0,0,,SRB,BLOCK,2,25,11831,1
5,6,Uzelac Aleksandra ,OH,0,0,0,0,,SRB,BLOCK,2,25,11831,1
6,22,Lozo Sara ,O,0,0,0,0,,SRB,BLOCK,2,25,11831,1
7,23,Djordjevic Mila ,S,0,0,0,0,,SRB,BLOCK,2,25,11831,1
8,25,Markovic Bozica ,MB,0,0,0,0,,SRB,BLOCK,2,25,11831,1
