,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,4,Pogany Anna (C),L,18,2,21,76.19,GER,DIG,0,0,13754,
1,6,Janiska Jennifer ,OH,17,3,20,70.00,GER,DIG,0,0,13754,
2,2,Kästner Pia ,S,11,3,14,57.14,GER,DIG,0,0,13754,
3,10,Stigrot Lena ,OH,10,2,13,61.54,GER,DIG,0,0,13754,
4,5,Glaab Corina ,S,4,2,6,33.33,GER,DIG,0,0,13754,
5,9,Alsmeier Lina ,OH,4,2,6,33.33,GER,DIG,0,0,13754,
6,13,Hippe Saskia ,O,4,0,4,100.00,GER,DIG,0,0,13754,
7,21,Weitzel Camilla ,MB,4,0,4,100.00,GER,DIG,0,0,13754,
8,12,Orthmann Hanna ,OH,3,2,5,20.00,GER,DIG,0,0,13754,
9,14,Schölzel Marie ,MB,3,0,3,100.00,GER,DIG,0,0,13754,
10,7,Vanjak Ivana ,OH,1,0,1,100.00,GER,DIG,0,0,13754,
11,1,Bock Linda ,L,0,0,0,,GER,DIG,0,0,13754,
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,0,0,13754,
13,24,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,0,0,13754,
0,6,Janiska Jennifer ,OH,4,1,5,60.00,GER,DIG,1,27,13754,0
1,10,Stigrot Lena ,OH,4,2,6,33.33,GER,DIG,1,27,13754,0
2,4,Pogany Anna (C),L,2,1,3,33.33,GER,DIG,1,27,13754,0
3,2,Kästner Pia ,S,1,2,3,-33.33,GER,DIG,1,27,13754,0
4,12,Orthmann Hanna ,OH,1,0,1,100.00,GER,DIG,1,27,13754,0
5,21,Weitzel Camilla ,MB,1,0,1,100.00,GER,DIG,1,27,13754,0
6,1,Bock Linda ,L,0,0,0,,GER,DIG,1,27,13754,0
7,5,Glaab Corina ,S,0,0,0,,GER,DIG,1,27,13754,0
8,7,Vanjak Ivana ,OH,0,0,0,,GER,DIG,1,27,13754,0
9,9,Alsmeier Lina ,OH,0,0,0,,GER,DIG,1,27,13754,0
10,13,Hippe Saskia ,O,0,0,0,,GER,DIG,1,27,13754,0
11,14,Schölzel Marie ,MB,0,0,0,,GER,DIG,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,1,27,13754,0
0,4,Pogany Anna (C),L,11,0,12,91.67,GER,DIG,2,25,13754,1
1,2,Kästner Pia ,S,8,0,8,100.00,GER,DIG,2,25,13754,1
2,6,Janiska Jennifer ,OH,6,0,6,100.00,GER,DIG,2,25,13754,1
3,10,Stigrot Lena ,OH,6,0,6,100.00,GER,DIG,2,25,13754,1
4,14,Schölzel Marie ,MB,2,0,2,100.00,GER,DIG,2,25,13754,1
5,1,Bock Linda ,L,0,0,0,,GER,DIG,2,25,13754,1
6,5,Glaab Corina ,S,0,0,0,,GER,DIG,2,25,13754,1
7,7,Vanjak Ivana ,OH,0,0,0,,GER,DIG,2,25,13754,1
8,9,Alsmeier Lina ,OH,0,0,0,,GER,DIG,2,25,13754,1
9,12,Orthmann Hanna ,OH,0,2,2,-100.00,GER,DIG,2,25,13754,1
10,13,Hippe Saskia ,O,0,0,0,,GER,DIG,2,25,13754,1
11,21,Weitzel Camilla ,MB,0,0,0,,GER,DIG,2,25,13754,1
