,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,2,25,13754,1
0,6,Janiska Jennifer ,OH,5,1,6,66.67,GER,DIG,3,25,13754,0
1,5,Glaab Corina ,S,4,0,4,100.00,GER,DIG,3,25,13754,0
2,9,Alsmeier Lina ,OH,4,2,6,33.33,GER,DIG,3,25,13754,0
3,21,Weitzel Camilla ,MB,3,0,3,100.00,GER,DIG,3,25,13754,0
4,4,Pogany Anna (C),L,2,1,3,33.33,GER,DIG,3,25,13754,0
5,12,Orthmann Hanna ,OH,2,0,2,100.00,GER,DIG,3,25,13754,0
6,14,Schölzel Marie ,MB,1,0,1,100.00,GER,DIG,3,25,13754,0
7,1,Bock Linda ,L,0,0,0,,GER,DIG,3,25,13754,0
8,2,Kästner Pia ,S,0,1,1,-100.00,GER,DIG,3,25,13754,0
9,7,Vanjak Ivana ,OH,0,0,0,,GER,DIG,3,25,13754,0
10,10,Stigrot Lena ,OH,0,0,0,,GER,DIG,3,25,13754,0
11,13,Hippe Saskia ,O,0,0,0,,GER,DIG,3,25,13754,0
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,3,25,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,3,25,13754,0
0,13,Hippe Saskia ,O,4,0,4,100.00,GER,DIG,4,21,13754,0
1,4,Pogany Anna (C),L,3,0,3,100.00,GER,DIG,4,21,13754,0
2,2,Kästner Pia ,S,2,0,2,100.00,GER,DIG,4,21,13754,0
3,6,Janiska Jennifer ,OH,2,1,3,33.33,GER,DIG,4,21,13754,0
4,7,Vanjak Ivana ,OH,1,0,1,100.00,GER,DIG,4,21,13754,0
5,1,Bock Linda ,L,0,0,0,,GER,DIG,4,21,13754,0
6,5,Glaab Corina ,S,0,2,2,-100.00,GER,DIG,4,21,13754,0
7,9,Alsmeier Lina ,OH,0,0,0,,GER,DIG,4,21,13754,0
8,10,Stigrot Lena ,OH,0,0,1,0.00,GER,DIG,4,21,13754,0
9,12,Orthmann Hanna ,OH,0,0,0,,GER,DIG,4,21,13754,0
10,14,Schölzel Marie ,MB,0,0,0,,GER,DIG,4,21,13754,0
11,21,Weitzel Camilla ,MB,0,0,0,,GER,DIG,4,21,13754,0
12,22,Strubbe Monique ,MB,0,0,0,,GER,DIG,4,21,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,,GER,DIG,4,21,13754,0
0,6,Alexandre Costa Nunes Nyeme Victoria ,L,25,4,31,67.74,BRA,DIG,0,0,13754,
1,8,Silva Carneiro Macris Fernanda (C),S,17,1,18,88.89,BRA,DIG,0,0,13754,
2,17,Bergmann Julia Isabelle ,OH,10,3,13,53.85,BRA,DIG,0,0,13754,
3,5,Zalewski Daroit Priscila ,OH,9,5,14,28.57,BRA,DIG,0,0,13754,
4,2,Duarte Alecrim Diana ,MB,7,1,8,75.00,BRA,DIG,0,0,13754,
5,4,Da Silva Ana Carolina ,MB,5,0,6,83.33,BRA,DIG,0,0,13754,
6,16,Nascimento Kisy ,O,4,0,4,100.00,BRA,DIG,0,0,13754,
7,24,Geraldo Teixeira Lorenne ,O,2,3,5,-20.00,BRA,DIG,0,0,13754,
8,9,Ratzke Roberta Silva ,S,0,0,0,,BRA,DIG,0,0,13754,
9,11,Barbosa De Souza Karina ,OH,0,1,1,-100.00,BRA,DIG,0,0,13754,
10,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,,BRA,DIG,0,0,13754,
11,14,Araujo Natália ,L,0,0,0,,BRA,DIG,0,0,13754,
12,15,Viezel Lorena Giovana ,MB,0,0,0,,BRA,DIG,0,0,13754,
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,,BRA,DIG,0,0,13754,
0,6,Alexandre Costa Nunes Nyeme Victoria ,L,6,1,7,71.43,BRA,DIG,1,29,13754,1
1,17,Bergmann Julia Isabelle ,OH,3,0,3,100.00,BRA,DIG,1,29,13754,1
2,2,Duarte Alecrim Diana ,MB,1,0,1,100.00,BRA,DIG,1,29,13754,1
3,4,Da Silva Ana Carolina ,MB,1,0,1,100.00,BRA,DIG,1,29,13754,1
4,5,Zalewski Daroit Priscila ,OH,1,1,2,0.00,BRA,DIG,1,29,13754,1
5,8,Silva Carneiro Macris Fernanda (C),S,1,1,2,0.00,BRA,DIG,1,29,13754,1
6,9,Ratzke Roberta Silva ,S,0,0,0,,BRA,DIG,1,29,13754,1
7,11,Barbosa De Souza Karina ,OH,0,0,0,,BRA,DIG,1,29,13754,1
8,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,,BRA,DIG,1,29,13754,1
9,14,Araujo Natália ,L,0,0,0,,BRA,DIG,1,29,13754,1
10,15,Viezel Lorena Giovana ,MB,0,0,0,,BRA,DIG,1,29,13754,1
11,16,Nascimento Kisy ,O,0,0,0,,BRA,DIG,1,29,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,,BRA,DIG,1,29,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,1,1,-100.00,BRA,DIG,1,29,13754,1
0,8,Silva Carneiro Macris Fernanda (C),S,6,0,6,100.00,BRA,DIG,2,23,13754,0
1,5,Zalewski Daroit Priscila ,OH,5,0,5,100.00,BRA,DIG,2,23,13754,0
2,6,Alexandre Costa Nunes Nyeme Victoria ,L,5,1,7,57.14,BRA,DIG,2,23,13754,0
3,2,Duarte Alecrim Diana ,MB,4,0,4,100.00,BRA,DIG,2,23,13754,0
4,17,Bergmann Julia Isabelle ,OH,2,1,3,33.33,BRA,DIG,2,23,13754,0
5,24,Geraldo Teixeira Lorenne ,O,2,0,2,100.00,BRA,DIG,2,23,13754,0
6,16,Nascimento Kisy ,O,1,0,1,100.00,BRA,DIG,2,23,13754,0
7,4,Da Silva Ana Carolina ,MB,0,0,1,0.00,BRA,DIG,2,23,13754,0
8,9,Ratzke Roberta Silva ,S,0,0,0,,BRA,DIG,2,23,13754,0
9,11,Barbosa De Souza Karina ,OH,0,1,1,-100.00,BRA,DIG,2,23,13754,0
10,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,,BRA,DIG,2,23,13754,0
11,14,Araujo Natália ,L,0,0,0,,BRA,DIG,2,23,13754,0
12,15,Viezel Lorena Giovana ,MB,0,0,0,,BRA,DIG,2,23,13754,0
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,,BRA,DIG,2,23,13754,0
0,6,Alexandre Costa Nunes Nyeme Victoria ,L,11,0,11,100.00,BRA,DIG,3,27,13754,1
1,8,Silva Carneiro Macris Fernanda (C),S,7,0,7,100.00,BRA,DIG,3,27,13754,1
2,17,Bergmann Julia Isabelle ,OH,3,1,4,50.00,BRA,DIG,3,27,13754,1
3,5,Zalewski Daroit Priscila ,OH,2,1,3,33.33,BRA,DIG,3,27,13754,1
4,2,Duarte Alecrim Diana ,MB,1,1,2,0.00,BRA,DIG,3,27,13754,1
5,4,Da Silva Ana Carolina ,MB,1,0,1,100.00,BRA,DIG,3,27,13754,1
6,16,Nascimento Kisy ,O,1,0,1,100.00,BRA,DIG,3,27,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,,BRA,DIG,3,27,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,,BRA,DIG,3,27,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,,BRA,DIG,3,27,13754,1
10,14,Araujo Natália ,L,0,0,0,,BRA,DIG,3,27,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,,BRA,DIG,3,27,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,,BRA,DIG,3,27,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,2,2,-100.00,BRA,DIG,3,27,13754,1
0,4,Da Silva Ana Carolina ,MB,3,0,3,100.00,BRA,DIG,4,25,13754,1
1,6,Alexandre Costa Nunes Nyeme Victoria ,L,3,2,6,16.67,BRA,DIG,4,25,13754,1
2,8,Silva Carneiro Macris Fernanda (C),S,3,0,3,100.00,BRA,DIG,4,25,13754,1
3,16,Nascimento Kisy ,O,2,0,2,100.00,BRA,DIG,4,25,13754,1
4,17,Bergmann Julia Isabelle ,OH,2,1,3,33.33,BRA,DIG,4,25,13754,1
5,2,Duarte Alecrim Diana ,MB,1,0,1,100.00,BRA,DIG,4,25,13754,1
6,5,Zalewski Daroit Priscila ,OH,1,3,4,-50.00,BRA,DIG,4,25,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,,BRA,DIG,4,25,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,,BRA,DIG,4,25,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,,BRA,DIG,4,25,13754,1
10,14,Araujo Natália ,L,0,0,0,,BRA,DIG,4,25,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,,BRA,DIG,4,25,13754,1
12,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,,BRA,DIG,4,25,13754,1
13,24,Geraldo Teixeira Lorenne ,O,0,0,0,,BRA,DIG,4,25,13754,1
0,5,Hentz Morgan ,L,15,0,16,93.75,USA,DIG,0,0,13755,
1,7,Carlini Lauren ,S,12,2,14,71.43,USA,DIG,0,0,13755,
2,13,Wilhite Sarah ,OH,10,3,13,53.85,USA,DIG,0,0,13755,
3,12,Thompson Jordan ,O,6,6,12,0.00,USA,DIG,0,0,13755,
4,30,Frantti Alexandra ,OH,6,0,6,100.00,USA,DIG,0,0,13755,
5,16,Rettke Dana ,MB,1,0,1,100.00,USA,DIG,0,0,13755,
6,6,Dixon Tetori (C),MB,0,0,0,,USA,DIG,0,0,13755,
7,9,Rishel Madison Kingdon ,OH,0,0,0,,USA,DIG,0,0,13755,
8,10,Butler Brionne ,MB,0,0,0,,USA,DIG,0,0,13755,
9,11,Drews Andrea ,O,0,0,0,,USA,DIG,0,0,13755,
10,18,Bajema Kara ,OH,0,0,0,,USA,DIG,0,0,13755,
11,19,Gray Jenna ,S,0,0,0,,USA,DIG,0,0,13755,
12,22,White Kendall ,L,0,0,0,,USA,DIG,0,0,13755,
13,31,Stevenson Anna ,MB,0,0,0,,USA,DIG,0,0,13755,
0,13,Wilhite Sarah ,OH,5,2,7,42.86,USA,DIG,1,25,13755,1
1,5,Hentz Morgan ,L,4,0,4,100.00,USA,DIG,1,25,13755,1
2,12,Thompson Jordan ,O,4,2,6,33.33,USA,DIG,1,25,13755,1
3,7,Carlini Lauren ,S,2,0,2,100.00,USA,DIG,1,25,13755,1
4,30,Frantti Alexandra ,OH,2,0,2,100.00,USA,DIG,1,25,13755,1
5,16,Rettke Dana ,MB,1,0,1,100.00,USA,DIG,1,25,13755,1
6,6,Dixon Tetori (C),MB,0,0,0,,USA,DIG,1,25,13755,1
7,9,Rishel Madison Kingdon ,OH,0,0,0,,USA,DIG,1,25,13755,1
8,10,Butler Brionne ,MB,0,0,0,,USA,DIG,1,25,13755,1
9,11,Drews Andrea ,O,0,0,0,,USA,DIG,1,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,,USA,DIG,1,25,13755,1
11,19,Gray Jenna ,S,0,0,0,,USA,DIG,1,25,13755,1
12,22,White Kendall ,L,0,0,0,,USA,DIG,1,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,,USA,DIG,1,25,13755,1
0,5,Hentz Morgan ,L,4,0,4,100.00,USA,DIG,2,25,13755,1
1,7,Carlini Lauren ,S,4,0,4,100.00,USA,DIG,2,25,13755,1
2,30,Frantti Alexandra ,OH,4,0,4,100.00,USA,DIG,2,25,13755,1
3,12,Thompson Jordan ,O,1,1,2,0.00,USA,DIG,2,25,13755,1
4,13,Wilhite Sarah ,OH,1,0,1,100.00,USA,DIG,2,25,13755,1
5,6,Dixon Tetori (C),MB,0,0,0,,USA,DIG,2,25,13755,1
6,9,Rishel Madison Kingdon ,OH,0,0,0,,USA,DIG,2,25,13755,1
7,10,Butler Brionne ,MB,0,0,0,,USA,DIG,2,25,13755,1
8,11,Drews Andrea ,O,0,0,0,,USA,DIG,2,25,13755,1
9,16,Rettke Dana ,MB,0,0,0,,USA,DIG,2,25,13755,1
10,18,Bajema Kara ,OH,0,0,0,,USA,DIG,2,25,13755,1
11,19,Gray Jenna ,S,0,0,0,,USA,DIG,2,25,13755,1
12,22,White Kendall ,L,0,0,0,,USA,DIG,2,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,,USA,DIG,2,25,13755,1
0,5,Hentz Morgan ,L,7,0,8,87.50,USA,DIG,3,25,13755,1
1,7,Carlini Lauren ,S,6,2,8,50.00,USA,DIG,3,25,13755,1
2,13,Wilhite Sarah ,OH,4,1,5,60.00,USA,DIG,3,25,13755,1
3,12,Thompson Jordan ,O,1,3,4,-50.00,USA,DIG,3,25,13755,1
4,6,Dixon Tetori (C),MB,0,0,0,,USA,DIG,3,25,13755,1
5,9,Rishel Madison Kingdon ,OH,0,0,0,,USA,DIG,3,25,13755,1
6,10,Butler Brionne ,MB,0,0,0,,USA,DIG,3,25,13755,1
7,11,Drews Andrea ,O,0,0,0,,USA,DIG,3,25,13755,1
8,16,Rettke Dana ,MB,0,0,0,,USA,DIG,3,25,13755,1
9,18,Bajema Kara ,OH,0,0,0,,USA,DIG,3,25,13755,1
10,19,Gray Jenna ,S,0,0,0,,USA,DIG,3,25,13755,1
11,22,White Kendall ,L,0,0,0,,USA,DIG,3,25,13755,1
12,30,Frantti Alexandra ,OH,0,0,0,,USA,DIG,3,25,13755,1
13,31,Stevenson Anna ,MB,0,0,0,,USA,DIG,3,25,13755,1
0,23,Gonzalez Lopez Gaila Ceneida ,O,12,2,16,62.50,DOM,DIG,0,0,13755,
1,25,Martinez Caro Larysmer ,OH,10,2,12,66.67,DOM,DIG,0,0,13755,
2,7,Marte Frica Niverka Dharlenis (C),S,7,1,8,75.00,DOM,DIG,0,0,13755,
3,15,Guillen Paredes Madeline Jazmin ,OH,7,0,7,100.00,DOM,DIG,0,0,13755,
4,16,Peña Isabel Yonkaira Paola ,OH,5,1,6,66.67,DOM,DIG,0,0,13755,
5,4,Peralta Luna Vielka Michelle ,OH,4,2,6,33.33,DOM,DIG,0,0,13755,
6,21,Martinez Jineiry ,MB,2,0,2,100.00,DOM,DIG,0,0,13755,
7,24,Gonzalez Geraldine Sthefany ,MB,2,0,2,100.00,DOM,DIG,0,0,13755,
8,3,Rabit Esthefany ,L,1,0,1,100.00,DOM,DIG,0,0,13755,
9,2,Rodriguez Duran Yaneirys ,L,0,0,0,,DOM,DIG,0,0,13755,
10,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,,DOM,DIG,0,0,13755,
11,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,,DOM,DIG,0,0,13755,
12,17,Mambru Casilla Gina Altagracia ,O,0,0,0,,DOM,DIG,0,0,13755,
13,20,Martinez Brayelin Elizabeth ,OH,0,0,0,,DOM,DIG,0,0,13755,
0,15,Guillen Paredes Madeline Jazmin ,OH,5,0,5,100.00,DOM,DIG,1,21,13755,0
1,25,Martinez Caro Larysmer ,OH,5,1,6,66.67,DOM,DIG,1,21,13755,0
2,23,Gonzalez Lopez Gaila Ceneida ,O,4,1,5,60.00,DOM,DIG,1,21,13755,0
3,7,Marte Frica Niverka Dharlenis (C),S,3,0,3,100.00,DOM,DIG,1,21,13755,0
4,16,Peña Isabel Yonkaira Paola ,OH,1,0,1,100.00,DOM,DIG,1,21,13755,0
5,2,Rodriguez Duran Yaneirys ,L,0,0,0,,DOM,DIG,1,21,13755,0
6,3,Rabit Esthefany ,L,0,0,0,,DOM,DIG,1,21,13755,0
7,4,Peralta Luna Vielka Michelle ,OH,0,0,0,,DOM,DIG,1,21,13755,0
8,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,,DOM,DIG,1,21,13755,0
9,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,,DOM,DIG,1,21,13755,0
10,17,Mambru Casilla Gina Altagracia ,O,0,0,0,,DOM,DIG,1,21,13755,0
11,20,Martinez Brayelin Elizabeth ,OH,0,0,0,,DOM,DIG,1,21,13755,0
12,21,Martinez Jineiry ,MB,0,0,0,,DOM,DIG,1,21,13755,0
13,24,Gonzalez Geraldine Sthefany ,MB,0,0,0,,DOM,DIG,1,21,13755,0
0,23,Gonzalez Lopez Gaila Ceneida ,O,4,0,5,80.00,DOM,DIG,2,17,13755,0
1,16,Peña Isabel Yonkaira Paola ,OH,3,1,4,50.00,DOM,DIG,2,17,13755,0
2,4,Peralta Luna Vielka Michelle ,OH,2,1,3,33.33,DOM,DIG,2,17,13755,0
3,21,Martinez Jineiry ,MB,2,0,2,100.00,DOM,DIG,2,17,13755,0
4,25,Martinez Caro Larysmer ,OH,2,1,3,33.33,DOM,DIG,2,17,13755,0
5,3,Rabit Esthefany ,L,1,0,1,100.00,DOM,DIG,2,17,13755,0
6,7,Marte Frica Niverka Dharlenis (C),S,1,0,1,100.00,DOM,DIG,2,17,13755,0
7,15,Guillen Paredes Madeline Jazmin ,OH,1,0,1,100.00,DOM,DIG,2,17,13755,0
8,2,Rodriguez Duran Yaneirys ,L,0,0,0,,DOM,DIG,2,17,13755,0
9,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,,DOM,DIG,2,17,13755,0
10,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,,DOM,DIG,2,17,13755,0
11,17,Mambru Casilla Gina Altagracia ,O,0,0,0,,DOM,DIG,2,17,13755,0
12,20,Martinez Brayelin Elizabeth ,OH,0,0,0,,DOM,DIG,2,17,13755,0
13,24,Gonzalez Geraldine Sthefany ,MB,0,0,0,,DOM,DIG,2,17,13755,0
0,23,Gonzalez Lopez Gaila Ceneida ,O,4,1,6,50.00,DOM,DIG,3,18,13755,0
1,7,Marte Frica Niverka Dharlenis (C),S,3,1,4,50.00,DOM,DIG,3,18,13755,0
2,25,Martinez Caro Larysmer ,OH,3,0,3,100.00,DOM,DIG,3,18,13755,0
3,4,Peralta Luna Vielka Michelle ,OH,2,1,3,33.33,DOM,DIG,3,18,13755,0
4,24,Gonzalez Geraldine Sthefany ,MB,2,0,2,100.00,DOM,DIG,3,18,13755,0
5,15,Guillen Paredes Madeline Jazmin ,OH,1,0,1,100.00,DOM,DIG,3,18,13755,0
6,16,Peña Isabel Yonkaira Paola ,OH,1,0,1,100.00,DOM,DIG,3,18,13755,0
7,2,Rodriguez Duran Yaneirys ,L,0,0,0,,DOM,DIG,3,18,13755,0
8,3,Rabit Esthefany ,L,0,0,0,,DOM,DIG,3,18,13755,0
9,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,,DOM,DIG,3,18,13755,0
10,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,,DOM,DIG,3,18,13755,0
11,17,Mambru Casilla Gina Altagracia ,O,0,0,0,,DOM,DIG,3,18,13755,0
12,20,Martinez Brayelin Elizabeth ,OH,0,0,0,,DOM,DIG,3,18,13755,0
13,21,Martinez Jineiry ,MB,0,0,0,,DOM,DIG,3,18,13755,0
0,2,Akoz Simge Sebnem ,L,7,2,11,45.45,TUR,DIG,0,0,13757,
1,3,Özbay Cansu ,S,6,0,7,85.71,TUR,DIG,0,0,13757,
2,99,Karakurt Ebrar ,O,5,1,7,57.14,TUR,DIG,0,0,13757,
3,6,Sahin Saliha ,OH,4,0,4,100.00,TUR,DIG,0,0,13757,
4,14,Erdem Dündar Eda (C),MB,3,0,4,75.00,TUR,DIG,0,0,13757,
5,7,Baladin Hande ,OH,2,2,5,0.00,TUR,DIG,0,0,13757,
6,18,Gunes Zehra ,MB,2,2,6,0.00,TUR,DIG,0,0,13757,
7,1,Arici Beyza ,MB,0,0,0,,TUR,DIG,0,0,13757,
8,5,Akbay Bahar ,MB,0,0,0,,TUR,DIG,0,0,13757,
9,9,Diken Meliha ,O,0,0,0,,TUR,DIG,0,0,13757,
10,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,0,0,13757,
11,17,Caliskan Sila ,S,0,0,0,,TUR,DIG,0,0,13757,
12,19,Kapucu Ceren ,O,0,0,0,,TUR,DIG,0,0,13757,
13,22,Aydin İlkin ,OH,0,0,0,,TUR,DIG,0,0,13757,
0,99,Karakurt Ebrar ,O,2,0,2,100.00,TUR,DIG,1,25,13757,1
1,2,Akoz Simge Sebnem ,L,1,0,1,100.00,TUR,DIG,1,25,13757,1
2,3,Özbay Cansu ,S,1,0,1,100.00,TUR,DIG,1,25,13757,1
3,7,Baladin Hande ,OH,1,0,2,50.00,TUR,DIG,1,25,13757,1
4,14,Erdem Dündar Eda (C),MB,1,0,1,100.00,TUR,DIG,1,25,13757,1
5,1,Arici Beyza ,MB,0,0,0,,TUR,DIG,1,25,13757,1
6,5,Akbay Bahar ,MB,0,0,0,,TUR,DIG,1,25,13757,1
7,6,Sahin Saliha ,OH,0,0,0,,TUR,DIG,1,25,13757,1
8,9,Diken Meliha ,O,0,0,0,,TUR,DIG,1,25,13757,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,1,25,13757,1
10,17,Caliskan Sila ,S,0,0,0,,TUR,DIG,1,25,13757,1
11,18,Gunes Zehra ,MB,0,0,1,0.00,TUR,DIG,1,25,13757,1
12,19,Kapucu Ceren ,O,0,0,0,,TUR,DIG,1,25,13757,1
13,22,Aydin İlkin ,OH,0,0,0,,TUR,DIG,1,25,13757,1
0,3,Özbay Cansu ,S,4,0,4,100.00,TUR,DIG,2,25,13757,1
1,6,Sahin Saliha ,OH,3,0,3,100.00,TUR,DIG,2,25,13757,1
2,2,Akoz Simge Sebnem ,L,2,1,4,25.00,TUR,DIG,2,25,13757,1
3,7,Baladin Hande ,OH,1,1,2,0.00,TUR,DIG,2,25,13757,1
4,14,Erdem Dündar Eda (C),MB,1,0,2,50.00,TUR,DIG,2,25,13757,1
5,18,Gunes Zehra ,MB,1,1,2,0.00,TUR,DIG,2,25,13757,1
6,1,Arici Beyza ,MB,0,0,0,,TUR,DIG,2,25,13757,1
7,5,Akbay Bahar ,MB,0,0,0,,TUR,DIG,2,25,13757,1
8,9,Diken Meliha ,O,0,0,0,,TUR,DIG,2,25,13757,1
9,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,2,25,13757,1
10,17,Caliskan Sila ,S,0,0,0,,TUR,DIG,2,25,13757,1
11,19,Kapucu Ceren ,O,0,0,0,,TUR,DIG,2,25,13757,1
12,22,Aydin İlkin ,OH,0,0,0,,TUR,DIG,2,25,13757,1
13,99,Karakurt Ebrar ,O,0,0,0,,TUR,DIG,2,25,13757,1
0,2,Akoz Simge Sebnem ,L,4,1,6,50.00,TUR,DIG,3,25,13757,1
1,99,Karakurt Ebrar ,O,3,1,5,40.00,TUR,DIG,3,25,13757,1
2,3,Özbay Cansu ,S,1,0,2,50.00,TUR,DIG,3,25,13757,1
3,6,Sahin Saliha ,OH,1,0,1,100.00,TUR,DIG,3,25,13757,1
4,14,Erdem Dündar Eda (C),MB,1,0,1,100.00,TUR,DIG,3,25,13757,1
5,18,Gunes Zehra ,MB,1,1,3,0.00,TUR,DIG,3,25,13757,1
6,1,Arici Beyza ,MB,0,0,0,,TUR,DIG,3,25,13757,1
7,5,Akbay Bahar ,MB,0,0,0,,TUR,DIG,3,25,13757,1
8,7,Baladin Hande ,OH,0,1,1,-100.00,TUR,DIG,3,25,13757,1
9,9,Diken Meliha ,O,0,0,0,,TUR,DIG,3,25,13757,1
10,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,3,25,13757,1
11,17,Caliskan Sila ,S,0,0,0,,TUR,DIG,3,25,13757,1
12,19,Kapucu Ceren ,O,0,0,0,,TUR,DIG,3,25,13757,1
13,22,Aydin İlkin ,OH,0,0,0,,TUR,DIG,3,25,13757,1
0,6,De Gennaro Monica ,L,6,2,10,40.00,ITA,DIG,0,0,13757,
1,5,Malinov Ofelia (C),S,5,2,7,42.86,ITA,DIG,0,0,13757,
2,21,Degradi Alice Carlotta ,OH,4,1,6,50.00,ITA,DIG,0,0,13757,
3,23,Perinelli Elena ,OH,4,2,7,28.57,ITA,DIG,0,0,13757,
4,10,Chirichella Cristina ,MB,2,1,3,33.33,ITA,DIG,0,0,13757,
