,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,12,Orthmann Hanna ,OH,14,7,18,39,17.95,GER,ATTACK,0,0,13754,
1,6,Janiska Jennifer ,OH,13,4,15,32,28.12,GER,ATTACK,0,0,13754,
2,21,Weitzel Camilla ,MB,10,1,5,16,56.25,GER,ATTACK,0,0,13754,
3,10,Stigrot Lena ,OH,9,5,18,32,12.50,GER,ATTACK,0,0,13754,
4,14,Schölzel Marie ,MB,8,2,3,13,46.15,GER,ATTACK,0,0,13754,
5,7,Vanjak Ivana ,OH,4,2,13,19,10.53,GER,ATTACK,0,0,13754,
6,9,Alsmeier Lina ,OH,3,2,6,11,9.09,GER,ATTACK,0,0,13754,
7,2,Kästner Pia ,S,1,0,1,2,50.00,GER,ATTACK,0,0,13754,
8,13,Hippe Saskia ,O,1,1,2,4,0.00,GER,ATTACK,0,0,13754,
9,24,Cekulaev Anastasia ,MB,1,0,0,1,100.00,GER,ATTACK,0,0,13754,
10,1,Bock Linda ,L,0,0,0,0,,GER,ATTACK,0,0,13754,
11,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,0,0,13754,
12,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,0,0,13754,
13,22,Strubbe Monique ,MB,0,0,0,0,,GER,ATTACK,0,0,13754,
0,12,Orthmann Hanna ,OH,6,4,5,15,13.33,GER,ATTACK,1,27,13754,0
1,10,Stigrot Lena ,OH,4,1,4,9,33.33,GER,ATTACK,1,27,13754,0
2,6,Janiska Jennifer ,OH,3,1,3,7,28.57,GER,ATTACK,1,27,13754,0
3,14,Schölzel Marie ,MB,3,1,1,5,40.00,GER,ATTACK,1,27,13754,0
4,21,Weitzel Camilla ,MB,3,1,1,5,40.00,GER,ATTACK,1,27,13754,0
5,1,Bock Linda ,L,0,0,0,0,,GER,ATTACK,1,27,13754,0
6,2,Kästner Pia ,S,0,0,0,0,,GER,ATTACK,1,27,13754,0
7,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,1,27,13754,0
8,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,1,27,13754,0
9,7,Vanjak Ivana ,OH,0,0,0,0,,GER,ATTACK,1,27,13754,0
10,9,Alsmeier Lina ,OH,0,0,0,0,,GER,ATTACK,1,27,13754,0
11,13,Hippe Saskia ,O,0,0,0,0,,GER,ATTACK,1,27,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,ATTACK,1,27,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,1,27,13754,0
0,12,Orthmann Hanna ,OH,6,1,9,16,31.25,GER,ATTACK,2,25,13754,1
1,6,Janiska Jennifer ,OH,3,2,6,11,9.09,GER,ATTACK,2,25,13754,1
2,10,Stigrot Lena ,OH,3,1,12,16,12.50,GER,ATTACK,2,25,13754,1
3,21,Weitzel Camilla ,MB,3,0,1,4,75.00,GER,ATTACK,2,25,13754,1
4,2,Kästner Pia ,S,1,0,0,1,100.00,GER,ATTACK,2,25,13754,1
5,14,Schölzel Marie ,MB,1,1,1,3,0.00,GER,ATTACK,2,25,13754,1
6,1,Bock Linda ,L,0,0,0,0,,GER,ATTACK,2,25,13754,1
7,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,2,25,13754,1
8,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,2,25,13754,1
9,7,Vanjak Ivana ,OH,0,0,0,0,,GER,ATTACK,2,25,13754,1
10,9,Alsmeier Lina ,OH,0,1,1,2,-50.00,GER,ATTACK,2,25,13754,1
11,13,Hippe Saskia ,O,0,0,0,0,,GER,ATTACK,2,25,13754,1
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,ATTACK,2,25,13754,1
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,2,25,13754,1
0,6,Janiska Jennifer ,OH,3,0,4,7,42.86,GER,ATTACK,3,25,13754,0
1,7,Vanjak Ivana ,OH,3,0,7,10,30.00,GER,ATTACK,3,25,13754,0
2,14,Schölzel Marie ,MB,3,0,1,4,75.00,GER,ATTACK,3,25,13754,0
3,10,Stigrot Lena ,OH,2,2,0,4,0.00,GER,ATTACK,3,25,13754,0
4,12,Orthmann Hanna ,OH,2,2,4,8,0.00,GER,ATTACK,3,25,13754,0
5,21,Weitzel Camilla ,MB,2,0,2,4,50.00,GER,ATTACK,3,25,13754,0
6,1,Bock Linda ,L,0,0,0,0,,GER,ATTACK,3,25,13754,0
7,2,Kästner Pia ,S,0,0,0,0,,GER,ATTACK,3,25,13754,0
8,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,3,25,13754,0
9,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,3,25,13754,0
10,9,Alsmeier Lina ,OH,0,1,4,5,-20.00,GER,ATTACK,3,25,13754,0
11,13,Hippe Saskia ,O,0,0,0,0,,GER,ATTACK,3,25,13754,0
12,22,Strubbe Monique ,MB,0,0,0,0,,GER,ATTACK,3,25,13754,0
13,24,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,3,25,13754,0
0,6,Janiska Jennifer ,OH,4,1,2,7,42.86,GER,ATTACK,4,21,13754,0
1,9,Alsmeier Lina ,OH,3,0,1,4,75.00,GER,ATTACK,4,21,13754,0
2,21,Weitzel Camilla ,MB,2,0,1,3,66.67,GER,ATTACK,4,21,13754,0
3,7,Vanjak Ivana ,OH,1,2,6,9,-11.11,GER,ATTACK,4,21,13754,0
4,13,Hippe Saskia ,O,1,1,2,4,0.00,GER,ATTACK,4,21,13754,0
5,14,Schölzel Marie ,MB,1,0,0,1,100.00,GER,ATTACK,4,21,13754,0
6,24,Cekulaev Anastasia ,MB,1,0,0,1,100.00,GER,ATTACK,4,21,13754,0
7,1,Bock Linda ,L,0,0,0,0,,GER,ATTACK,4,21,13754,0
8,2,Kästner Pia ,S,0,0,1,1,0.00,GER,ATTACK,4,21,13754,0
9,4,Pogany Anna (C),L,0,0,0,0,,GER,ATTACK,4,21,13754,0
10,5,Glaab Corina ,S,0,0,0,0,,GER,ATTACK,4,21,13754,0
11,10,Stigrot Lena ,OH,0,1,2,3,-33.33,GER,ATTACK,4,21,13754,0
12,12,Orthmann Hanna ,OH,0,0,0,0,,GER,ATTACK,4,21,13754,0
13,22,Strubbe Monique ,MB,0,0,0,0,,GER,ATTACK,4,21,13754,0
0,17,Bergmann Julia Isabelle ,OH,18,8,22,48,20.83,BRA,ATTACK,0,0,13754,
1,5,Zalewski Daroit Priscila ,OH,11,3,16,30,26.67,BRA,ATTACK,0,0,13754,
2,4,Da Silva Ana Carolina ,MB,9,3,4,16,37.50,BRA,ATTACK,0,0,13754,
3,16,Nascimento Kisy ,O,9,1,13,23,34.78,BRA,ATTACK,0,0,13754,
4,2,Duarte Alecrim Diana ,MB,7,1,2,10,60.00,BRA,ATTACK,0,0,13754,
5,24,Geraldo Teixeira Lorenne ,O,7,4,15,26,11.54,BRA,ATTACK,0,0,13754,
6,12,Menezes Oliveira de Souza Ana Cristina ,OH,2,0,2,4,50.00,BRA,ATTACK,0,0,13754,
7,8,Silva Carneiro Macris Fernanda (C),S,1,0,0,1,100.00,BRA,ATTACK,0,0,13754,
8,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,ATTACK,0,0,13754,
9,9,Ratzke Roberta Silva ,S,0,0,1,1,0.00,BRA,ATTACK,0,0,13754,
10,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,ATTACK,0,0,13754,
11,14,Araujo Natália ,L,0,0,0,0,,BRA,ATTACK,0,0,13754,
12,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,ATTACK,0,0,13754,
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,ATTACK,0,0,13754,
0,24,Geraldo Teixeira Lorenne ,O,6,1,4,11,45.45,BRA,ATTACK,1,29,13754,1
1,5,Zalewski Daroit Priscila ,OH,5,0,5,10,50.00,BRA,ATTACK,1,29,13754,1
2,17,Bergmann Julia Isabelle ,OH,5,2,2,9,33.33,BRA,ATTACK,1,29,13754,1
3,2,Duarte Alecrim Diana ,MB,2,1,0,3,33.33,BRA,ATTACK,1,29,13754,1
4,4,Da Silva Ana Carolina ,MB,0,1,0,1,-100.00,BRA,ATTACK,1,29,13754,1
5,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,ATTACK,1,29,13754,1
6,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,ATTACK,1,29,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,ATTACK,1,29,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,ATTACK,1,29,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,ATTACK,1,29,13754,1
10,14,Araujo Natália ,L,0,0,0,0,,BRA,ATTACK,1,29,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,ATTACK,1,29,13754,1
12,16,Nascimento Kisy ,O,0,0,0,0,,BRA,ATTACK,1,29,13754,1
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,ATTACK,1,29,13754,1
0,17,Bergmann Julia Isabelle ,OH,4,2,13,19,10.53,BRA,ATTACK,2,23,13754,0
1,4,Da Silva Ana Carolina ,MB,3,0,1,4,75.00,BRA,ATTACK,2,23,13754,0
2,2,Duarte Alecrim Diana ,MB,2,0,0,2,100.00,BRA,ATTACK,2,23,13754,0
3,5,Zalewski Daroit Priscila ,OH,1,2,6,9,-11.11,BRA,ATTACK,2,23,13754,0
4,8,Silva Carneiro Macris Fernanda (C),S,1,0,0,1,100.00,BRA,ATTACK,2,23,13754,0
5,16,Nascimento Kisy ,O,1,0,0,1,100.00,BRA,ATTACK,2,23,13754,0
6,24,Geraldo Teixeira Lorenne ,O,1,1,8,10,0.00,BRA,ATTACK,2,23,13754,0
7,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,ATTACK,2,23,13754,0
8,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,ATTACK,2,23,13754,0
9,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,ATTACK,2,23,13754,0
10,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,ATTACK,2,23,13754,0
11,14,Araujo Natália ,L,0,0,0,0,,BRA,ATTACK,2,23,13754,0
12,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,ATTACK,2,23,13754,0
13,18,Araujo De Souza Mayany Cristina ,MB,0,0,0,0,,BRA,ATTACK,2,23,13754,0
0,17,Bergmann Julia Isabelle ,OH,5,2,6,13,23.08,BRA,ATTACK,3,27,13754,1
1,16,Nascimento Kisy ,O,4,0,6,10,40.00,BRA,ATTACK,3,27,13754,1
2,2,Duarte Alecrim Diana ,MB,2,0,1,3,66.67,BRA,ATTACK,3,27,13754,1
3,4,Da Silva Ana Carolina ,MB,2,2,2,6,0.00,BRA,ATTACK,3,27,13754,1
4,5,Zalewski Daroit Priscila ,OH,2,1,4,7,14.29,BRA,ATTACK,3,27,13754,1
5,6,Alexandre Costa Nunes Nyeme Victoria ,L,0,0,0,0,,BRA,ATTACK,3,27,13754,1
6,8,Silva Carneiro Macris Fernanda (C),S,0,0,0,0,,BRA,ATTACK,3,27,13754,1
7,9,Ratzke Roberta Silva ,S,0,0,0,0,,BRA,ATTACK,3,27,13754,1
8,11,Barbosa De Souza Karina ,OH,0,0,0,0,,BRA,ATTACK,3,27,13754,1
9,12,Menezes Oliveira de Souza Ana Cristina ,OH,0,0,0,0,,BRA,ATTACK,3,27,13754,1
10,14,Araujo Natália ,L,0,0,0,0,,BRA,ATTACK,3,27,13754,1
11,15,Viezel Lorena Giovana ,MB,0,0,0,0,,BRA,ATTACK,3,27,13754,1
