,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,13,Boz Meryem ,O,16,8,17,41,19.51,TUR,ATTACK,0,0,11831,
1,99,Karakurt Ebrar ,O,13,6,13,32,21.88,TUR,ATTACK,0,0,11831,
2,14,Erdem Dündar Eda (C),MB,10,7,6,23,13.04,TUR,ATTACK,0,0,11831,
3,7,Baladin Hande ,OH,6,4,6,16,12.50,TUR,ATTACK,0,0,11831,
4,19,Kalac Asli ,MB,5,1,2,8,50.00,TUR,ATTACK,0,0,11831,
5,4,Ivegin Tugba ,OH,3,3,4,10,0.00,TUR,ATTACK,0,0,11831,
6,9,Diken Meliha ,O,3,5,9,17,-11.76,TUR,ATTACK,0,0,11831,
7,5,Ercan Seyma ,OH,1,1,7,9,0.00,TUR,ATTACK,0,0,11831,
8,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,ATTACK,0,0,11831,
9,3,Özbay Cansu ,S,0,0,2,2,0.00,TUR,ATTACK,0,0,11831,
10,6,Akman Kubra ,MB,0,0,0,0,,TUR,ATTACK,0,0,11831,
11,8,Guveli Yasemin ,MB,0,1,2,3,-33.33,TUR,ATTACK,0,0,11831,
12,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,ATTACK,0,0,11831,
13,11,Aydemir Akyol Naz ,S,0,0,1,1,0.00,TUR,ATTACK,0,0,11831,
0,13,Boz Meryem ,O,4,2,1,7,28.57,TUR,ATTACK,1,25,11831,1
1,4,Ivegin Tugba ,OH,3,2,3,8,12.50,TUR,ATTACK,1,25,11831,1
2,14,Erdem Dündar Eda (C),MB,2,2,0,4,0.00,TUR,ATTACK,1,25,11831,1
3,99,Karakurt Ebrar ,O,2,0,1,3,66.67,TUR,ATTACK,1,25,11831,1
4,7,Baladin Hande ,OH,1,0,2,3,33.33,TUR,ATTACK,1,25,11831,1
5,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,ATTACK,1,25,11831,1
6,3,Özbay Cansu ,S,0,0,0,0,,TUR,ATTACK,1,25,11831,1
7,5,Ercan Seyma ,OH,0,0,0,0,,TUR,ATTACK,1,25,11831,1
8,6,Akman Kubra ,MB,0,0,0,0,,TUR,ATTACK,1,25,11831,1
9,8,Guveli Yasemin ,MB,0,0,1,1,0.00,TUR,ATTACK,1,25,11831,1
10,9,Diken Meliha ,O,0,0,0,0,,TUR,ATTACK,1,25,11831,1
11,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,ATTACK,1,25,11831,1
12,11,Aydemir Akyol Naz ,S,0,0,1,1,0.00,TUR,ATTACK,1,25,11831,1
13,19,Kalac Asli ,MB,0,0,0,0,,TUR,ATTACK,1,25,11831,1
0,13,Boz Meryem ,O,6,2,3,11,36.36,TUR,ATTACK,2,18,11831,0
1,7,Baladin Hande ,OH,3,2,2,7,14.29,TUR,ATTACK,2,18,11831,0
2,14,Erdem Dündar Eda (C),MB,3,0,1,4,75.00,TUR,ATTACK,2,18,11831,0
3,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,ATTACK,2,18,11831,0
4,3,Özbay Cansu ,S,0,0,0,0,,TUR,ATTACK,2,18,11831,0
5,4,Ivegin Tugba ,OH,0,1,1,2,-50.00,TUR,ATTACK,2,18,11831,0
6,5,Ercan Seyma ,OH,0,0,0,0,,TUR,ATTACK,2,18,11831,0
7,6,Akman Kubra ,MB,0,0,0,0,,TUR,ATTACK,2,18,11831,0
8,8,Guveli Yasemin ,MB,0,1,1,2,-50.00,TUR,ATTACK,2,18,11831,0
9,9,Diken Meliha ,O,0,2,0,2,-100.00,TUR,ATTACK,2,18,11831,0
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,ATTACK,2,18,11831,0
11,11,Aydemir Akyol Naz ,S,0,0,0,0,,TUR,ATTACK,2,18,11831,0
12,19,Kalac Asli ,MB,0,0,0,0,,TUR,ATTACK,2,18,11831,0
13,99,Karakurt Ebrar ,O,0,2,1,3,-66.67,TUR,ATTACK,2,18,11831,0
0,99,Karakurt Ebrar ,O,7,0,2,9,77.78,TUR,ATTACK,3,25,11831,1
1,13,Boz Meryem ,O,4,2,3,9,22.22,TUR,ATTACK,3,25,11831,1
2,5,Ercan Seyma ,OH,1,0,3,4,25.00,TUR,ATTACK,3,25,11831,1
3,9,Diken Meliha ,O,1,0,4,5,20.00,TUR,ATTACK,3,25,11831,1
4,14,Erdem Dündar Eda (C),MB,1,3,3,7,-28.57,TUR,ATTACK,3,25,11831,1
5,19,Kalac Asli ,MB,1,1,0,2,0.00,TUR,ATTACK,3,25,11831,1
6,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,ATTACK,3,25,11831,1
