,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,31,Djurdjevic Sanja ,L,20,3,26,65.38,SRB,DIG,0,0,11831,
1,2,Lazovic Katarina (C),OH,14,2,17,70.59,SRB,DIG,0,0,11831,
2,3,Caric Sara ,O,10,0,11,90.91,SRB,DIG,0,0,11831,
3,22,Lozo Sara ,O,7,0,9,77.78,SRB,DIG,0,0,11831,
4,21,Kocic Jovana ,MB,4,2,6,33.33,SRB,DIG,0,0,11831,
5,24,Medic Sofija ,MB,3,1,5,40.00,SRB,DIG,0,0,11831,
6,7,Jaksic Ana ,S,2,1,5,20.00,SRB,DIG,0,0,11831,
7,26,Savic Vanja ,O,2,0,3,66.67,SRB,DIG,0,0,11831,
8,34,Mirosavljevic Jovana ,OH,2,1,3,33.33,SRB,DIG,0,0,11831,
9,23,Djordjevic Mila ,S,1,1,2,0.00,SRB,DIG,0,0,11831,
10,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,0,0,11831,
11,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,0,0,11831,
12,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,0,0,11831,
13,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,0,0,11831,
0,2,Lazovic Katarina (C),OH,2,0,2,100.00,SRB,DIG,1,21,11831,0
1,26,Savic Vanja ,O,2,0,2,100.00,SRB,DIG,1,21,11831,0
2,23,Djordjevic Mila ,S,1,1,2,0.00,SRB,DIG,1,21,11831,0
3,31,Djurdjevic Sanja ,L,1,1,4,0.00,SRB,DIG,1,21,11831,0
4,3,Caric Sara ,O,0,0,0,,SRB,DIG,1,21,11831,0
5,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,1,21,11831,0
6,7,Jaksic Ana ,S,0,0,0,,SRB,DIG,1,21,11831,0
7,21,Kocic Jovana ,MB,0,0,0,,SRB,DIG,1,21,11831,0
8,22,Lozo Sara ,O,0,0,0,,SRB,DIG,1,21,11831,0
9,24,Medic Sofija ,MB,0,0,1,0.00,SRB,DIG,1,21,11831,0
10,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,1,21,11831,0
11,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,1,21,11831,0
12,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,1,21,11831,0
13,34,Mirosavljevic Jovana ,OH,0,0,0,,SRB,DIG,1,21,11831,0
0,2,Lazovic Katarina (C),OH,4,1,5,60.00,SRB,DIG,2,25,11831,1
1,31,Djurdjevic Sanja ,L,3,1,5,40.00,SRB,DIG,2,25,11831,1
2,3,Caric Sara ,O,1,0,1,100.00,SRB,DIG,2,25,11831,1
3,7,Jaksic Ana ,S,1,0,1,100.00,SRB,DIG,2,25,11831,1
4,24,Medic Sofija ,MB,1,0,1,100.00,SRB,DIG,2,25,11831,1
5,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,2,25,11831,1
6,21,Kocic Jovana ,MB,0,0,0,,SRB,DIG,2,25,11831,1
7,22,Lozo Sara ,O,0,0,0,,SRB,DIG,2,25,11831,1
8,23,Djordjevic Mila ,S,0,0,0,,SRB,DIG,2,25,11831,1
9,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,2,25,11831,1
10,26,Savic Vanja ,O,0,0,0,,SRB,DIG,2,25,11831,1
11,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,2,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,2,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,1,1,-100.00,SRB,DIG,2,25,11831,1
0,31,Djurdjevic Sanja ,L,4,0,4,100.00,SRB,DIG,3,23,11831,0
1,2,Lazovic Katarina (C),OH,2,0,2,100.00,SRB,DIG,3,23,11831,0
2,3,Caric Sara ,O,2,0,3,66.67,SRB,DIG,3,23,11831,0
3,34,Mirosavljevic Jovana ,OH,1,0,1,100.00,SRB,DIG,3,23,11831,0
4,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,3,23,11831,0
5,7,Jaksic Ana ,S,0,0,0,,SRB,DIG,3,23,11831,0
6,21,Kocic Jovana ,MB,0,1,1,-100.00,SRB,DIG,3,23,11831,0
7,22,Lozo Sara ,O,0,0,1,0.00,SRB,DIG,3,23,11831,0
8,23,Djordjevic Mila ,S,0,0,0,,SRB,DIG,3,23,11831,0
9,24,Medic Sofija ,MB,0,1,1,-100.00,SRB,DIG,3,23,11831,0
10,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,3,23,11831,0
11,26,Savic Vanja ,O,0,0,1,0.00,SRB,DIG,3,23,11831,0
12,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,3,23,11831,0
13,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,3,23,11831,0
0,31,Djurdjevic Sanja ,L,7,0,7,100.00,SRB,DIG,4,25,11831,1
1,22,Lozo Sara ,O,5,0,6,83.33,SRB,DIG,4,25,11831,1
2,2,Lazovic Katarina (C),OH,3,1,5,40.00,SRB,DIG,4,25,11831,1
3,21,Kocic Jovana ,MB,2,1,3,33.33,SRB,DIG,4,25,11831,1
4,3,Caric Sara ,O,1,0,1,100.00,SRB,DIG,4,25,11831,1
5,7,Jaksic Ana ,S,1,1,3,0.00,SRB,DIG,4,25,11831,1
6,24,Medic Sofija ,MB,1,0,1,100.00,SRB,DIG,4,25,11831,1
7,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,4,25,11831,1
8,23,Djordjevic Mila ,S,0,0,0,,SRB,DIG,4,25,11831,1
9,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,4,25,11831,1
10,26,Savic Vanja ,O,0,0,0,,SRB,DIG,4,25,11831,1
11,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,4,25,11831,1
12,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,4,25,11831,1
13,34,Mirosavljevic Jovana ,OH,0,0,0,,SRB,DIG,4,25,11831,1
0,3,Caric Sara ,O,6,0,6,100.00,SRB,DIG,5,14,11831,0
1,31,Djurdjevic Sanja ,L,5,1,6,66.67,SRB,DIG,5,14,11831,0
2,2,Lazovic Katarina (C),OH,3,0,3,100.00,SRB,DIG,5,14,11831,0
3,21,Kocic Jovana ,MB,2,0,2,100.00,SRB,DIG,5,14,11831,0
4,22,Lozo Sara ,O,2,0,2,100.00,SRB,DIG,5,14,11831,0
5,24,Medic Sofija ,MB,1,0,1,100.00,SRB,DIG,5,14,11831,0
6,34,Mirosavljevic Jovana ,OH,1,0,1,100.00,SRB,DIG,5,14,11831,0
7,6,Uzelac Aleksandra ,OH,0,0,0,,SRB,DIG,5,14,11831,0
8,7,Jaksic Ana ,S,0,0,1,0.00,SRB,DIG,5,14,11831,0
9,23,Djordjevic Mila ,S,0,0,0,,SRB,DIG,5,14,11831,0
10,25,Markovic Bozica ,MB,0,0,0,,SRB,DIG,5,14,11831,0
11,26,Savic Vanja ,O,0,0,0,,SRB,DIG,5,14,11831,0
12,28,Delic Jelena ,MB,0,0,0,,SRB,DIG,5,14,11831,0
13,32,Gocanin Bojana ,L,0,0,0,,SRB,DIG,5,14,11831,0
0,14,Kobata Mako ,L,16,0,17,94.12,JPN,DIG,0,0,11833,
1,1,Kurogo Ai ,OH,9,1,11,72.73,JPN,DIG,0,0,11833,
2,2,Nishida Sarina ,OH,5,0,5,100.00,JPN,DIG,0,0,11833,
3,8,Ishikawa Mayu ,OH,3,1,4,50.00,JPN,DIG,0,0,11833,
4,9,Tashiro Kanami ,S,2,0,3,66.67,JPN,DIG,0,0,11833,
5,3,Shimamura Haruyo ,MB,1,0,1,100.00,JPN,DIG,0,0,11833,
6,5,Araki Erika (C),MB,1,0,1,100.00,JPN,DIG,0,0,11833,
7,24,Momii Aki ,S,1,2,6,-16.67,JPN,DIG,0,0,11833,
8,7,Ishii Yuki ,OH,0,0,0,,JPN,DIG,0,0,11833,
9,13,Okumura Mai ,MB,0,0,0,,JPN,DIG,0,0,11833,
10,15,Inoue Kotoe ,L,0,0,0,,JPN,DIG,0,0,11833,
11,19,Yamada Nichika ,MB,0,0,0,,JPN,DIG,0,0,11833,
12,20,Seki Nanami ,S,0,0,0,,JPN,DIG,0,0,11833,
13,21,Hayashi Kotona ,OH,0,0,1,0.00,JPN,DIG,0,0,11833,
0,14,Kobata Mako ,L,5,0,5,100.00,JPN,DIG,1,25,11833,1
1,1,Kurogo Ai ,OH,3,0,3,100.00,JPN,DIG,1,25,11833,1
2,2,Nishida Sarina ,OH,1,0,1,100.00,JPN,DIG,1,25,11833,1
3,5,Araki Erika (C),MB,1,0,1,100.00,JPN,DIG,1,25,11833,1
4,8,Ishikawa Mayu ,OH,1,0,1,100.00,JPN,DIG,1,25,11833,1
5,3,Shimamura Haruyo ,MB,0,0,0,,JPN,DIG,1,25,11833,1
6,7,Ishii Yuki ,OH,0,0,0,,JPN,DIG,1,25,11833,1
7,9,Tashiro Kanami ,S,0,0,0,,JPN,DIG,1,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,,JPN,DIG,1,25,11833,1
9,15,Inoue Kotoe ,L,0,0,0,,JPN,DIG,1,25,11833,1
10,19,Yamada Nichika ,MB,0,0,0,,JPN,DIG,1,25,11833,1
11,20,Seki Nanami ,S,0,0,0,,JPN,DIG,1,25,11833,1
12,21,Hayashi Kotona ,OH,0,0,1,0.00,JPN,DIG,1,25,11833,1
13,24,Momii Aki ,S,0,0,1,0.00,JPN,DIG,1,25,11833,1
0,14,Kobata Mako ,L,7,0,8,87.50,JPN,DIG,2,25,11833,1
1,1,Kurogo Ai ,OH,2,1,4,25.00,JPN,DIG,2,25,11833,1
2,2,Nishida Sarina ,OH,2,0,2,100.00,JPN,DIG,2,25,11833,1
3,8,Ishikawa Mayu ,OH,1,0,1,100.00,JPN,DIG,2,25,11833,1
4,3,Shimamura Haruyo ,MB,0,0,0,,JPN,DIG,2,25,11833,1
5,5,Araki Erika (C),MB,0,0,0,,JPN,DIG,2,25,11833,1
6,7,Ishii Yuki ,OH,0,0,0,,JPN,DIG,2,25,11833,1
7,9,Tashiro Kanami ,S,0,0,0,,JPN,DIG,2,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,,JPN,DIG,2,25,11833,1
9,15,Inoue Kotoe ,L,0,0,0,,JPN,DIG,2,25,11833,1
10,19,Yamada Nichika ,MB,0,0,0,,JPN,DIG,2,25,11833,1
11,20,Seki Nanami ,S,0,0,0,,JPN,DIG,2,25,11833,1
12,21,Hayashi Kotona ,OH,0,0,0,,JPN,DIG,2,25,11833,1
13,24,Momii Aki ,S,0,2,4,-50.00,JPN,DIG,2,25,11833,1
0,1,Kurogo Ai ,OH,4,0,4,100.00,JPN,DIG,3,25,11833,1
1,14,Kobata Mako ,L,4,0,4,100.00,JPN,DIG,3,25,11833,1
2,2,Nishida Sarina ,OH,2,0,2,100.00,JPN,DIG,3,25,11833,1
3,9,Tashiro Kanami ,S,2,0,3,66.67,JPN,DIG,3,25,11833,1
4,3,Shimamura Haruyo ,MB,1,0,1,100.00,JPN,DIG,3,25,11833,1
5,8,Ishikawa Mayu ,OH,1,1,2,0.00,JPN,DIG,3,25,11833,1
6,24,Momii Aki ,S,1,0,1,100.00,JPN,DIG,3,25,11833,1
7,5,Araki Erika (C),MB,0,0,0,,JPN,DIG,3,25,11833,1
8,7,Ishii Yuki ,OH,0,0,0,,JPN,DIG,3,25,11833,1
9,13,Okumura Mai ,MB,0,0,0,,JPN,DIG,3,25,11833,1
10,15,Inoue Kotoe ,L,0,0,0,,JPN,DIG,3,25,11833,1
11,19,Yamada Nichika ,MB,0,0,0,,JPN,DIG,3,25,11833,1
12,20,Seki Nanami ,S,0,0,0,,JPN,DIG,3,25,11833,1
13,21,Hayashi Kotona ,OH,0,0,0,,JPN,DIG,3,25,11833,1
0,13,Tomkom Nootsara ,S,7,0,10,70.00,THA,DIG,0,0,11833,
1,2,Pannoy Piyanut ,L,6,0,7,85.71,THA,DIG,0,0,11833,
2,12,Chaisri Tapaphaipun ,L,6,2,10,40.00,THA,DIG,0,0,11833,
3,9,Chuewulim Sutadta ,OH,5,1,6,66.67,THA,DIG,0,0,11833,
4,6,Sittirak Onuma ,OH,4,2,6,33.33,THA,DIG,0,0,11833,
5,15,Kanthong Malika ,O,3,0,5,60.00,THA,DIG,0,0,11833,
6,5,Thinkaow Pleumjit ,MB,2,0,2,100.00,THA,DIG,0,0,11833,
7,3,ManaKij Sirima ,S,1,0,1,100.00,THA,DIG,0,0,11833,
8,19,Krause Karina ,MB,1,0,2,50.00,THA,DIG,0,0,11833,
9,8,Sang-Ob Tirawan ,MB,0,0,0,,THA,DIG,0,0,11833,
10,10,Apinyapong Wilavan (C),L,0,1,1,-100.00,THA,DIG,0,0,11833,
11,11,Hyapha Amporn ,MB,0,0,0,,THA,DIG,0,0,11833,
12,14,Juangjan Pattiya ,OH,0,0,0,,THA,DIG,0,0,11833,
13,24,Nuanjam Watchareeya ,MB,0,0,0,,THA,DIG,0,0,11833,
0,2,Pannoy Piyanut ,L,3,0,4,75.00,THA,DIG,1,15,11833,0
1,9,Chuewulim Sutadta ,OH,3,0,3,100.00,THA,DIG,1,15,11833,0
2,5,Thinkaow Pleumjit ,MB,1,0,1,100.00,THA,DIG,1,15,11833,0
3,6,Sittirak Onuma ,OH,1,1,2,0.00,THA,DIG,1,15,11833,0
4,13,Tomkom Nootsara ,S,1,0,4,25.00,THA,DIG,1,15,11833,0
5,19,Krause Karina ,MB,1,0,1,100.00,THA,DIG,1,15,11833,0
6,3,ManaKij Sirima ,S,0,0,0,,THA,DIG,1,15,11833,0
7,8,Sang-Ob Tirawan ,MB,0,0,0,,THA,DIG,1,15,11833,0
8,10,Apinyapong Wilavan (C),L,0,1,1,-100.00,THA,DIG,1,15,11833,0
9,11,Hyapha Amporn ,MB,0,0,0,,THA,DIG,1,15,11833,0
10,12,Chaisri Tapaphaipun ,L,0,0,0,,THA,DIG,1,15,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,,THA,DIG,1,15,11833,0
12,15,Kanthong Malika ,O,0,0,0,,THA,DIG,1,15,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,,THA,DIG,1,15,11833,0
0,12,Chaisri Tapaphaipun ,L,4,2,7,28.57,THA,DIG,2,17,11833,0
1,13,Tomkom Nootsara ,S,3,0,3,100.00,THA,DIG,2,17,11833,0
2,2,Pannoy Piyanut ,L,2,0,2,100.00,THA,DIG,2,17,11833,0
3,3,ManaKij Sirima ,S,1,0,1,100.00,THA,DIG,2,17,11833,0
4,6,Sittirak Onuma ,OH,1,1,2,0.00,THA,DIG,2,17,11833,0
5,9,Chuewulim Sutadta ,OH,1,1,2,0.00,THA,DIG,2,17,11833,0
6,15,Kanthong Malika ,O,1,0,1,100.00,THA,DIG,2,17,11833,0
7,5,Thinkaow Pleumjit ,MB,0,0,0,,THA,DIG,2,17,11833,0
8,8,Sang-Ob Tirawan ,MB,0,0,0,,THA,DIG,2,17,11833,0
9,10,Apinyapong Wilavan (C),L,0,0,0,,THA,DIG,2,17,11833,0
10,11,Hyapha Amporn ,MB,0,0,0,,THA,DIG,2,17,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,,THA,DIG,2,17,11833,0
12,19,Krause Karina ,MB,0,0,1,0.00,THA,DIG,2,17,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,,THA,DIG,2,17,11833,0
0,13,Tomkom Nootsara ,S,3,0,3,100.00,THA,DIG,3,16,11833,0
1,6,Sittirak Onuma ,OH,2,0,2,100.00,THA,DIG,3,16,11833,0
2,12,Chaisri Tapaphaipun ,L,2,0,3,66.67,THA,DIG,3,16,11833,0
3,15,Kanthong Malika ,O,2,0,4,50.00,THA,DIG,3,16,11833,0
4,2,Pannoy Piyanut ,L,1,0,1,100.00,THA,DIG,3,16,11833,0
5,5,Thinkaow Pleumjit ,MB,1,0,1,100.00,THA,DIG,3,16,11833,0
6,9,Chuewulim Sutadta ,OH,1,0,1,100.00,THA,DIG,3,16,11833,0
7,3,ManaKij Sirima ,S,0,0,0,,THA,DIG,3,16,11833,0
8,8,Sang-Ob Tirawan ,MB,0,0,0,,THA,DIG,3,16,11833,0
9,10,Apinyapong Wilavan (C),L,0,0,0,,THA,DIG,3,16,11833,0
10,11,Hyapha Amporn ,MB,0,0,0,,THA,DIG,3,16,11833,0
11,14,Juangjan Pattiya ,OH,0,0,0,,THA,DIG,3,16,11833,0
12,19,Krause Karina ,MB,0,0,0,,THA,DIG,3,16,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,,THA,DIG,3,16,11833,0
0,9,Zhang Changning (C),OH,14,0,15,93.33,CHN,DIG,0,0,11834,
1,15,Lin Li ,L,9,2,13,53.85,CHN,DIG,0,0,11834,
2,8,Li Yao ,OH,8,2,10,60.00,CHN,DIG,0,0,11834,
3,11,Yao Di ,S,7,1,8,75.00,CHN,DIG,0,0,11834,
4,18,Wang Mengjie ,L,7,0,8,87.50,CHN,DIG,0,0,11834,
5,19,Liu Yanhan ,OH,5,1,6,66.67,CHN,DIG,0,0,11834,
6,10,Liu Xiaotong ,OH,4,0,4,100.00,CHN,DIG,0,0,11834,
7,4,Yang Hanyu ,MB,1,0,1,100.00,CHN,DIG,0,0,11834,
8,7,Wang Yuanyuan ,MB,1,0,1,100.00,CHN,DIG,0,0,11834,
9,14,Zheng Yixin ,O,1,0,1,100.00,CHN,DIG,0,0,11834,
10,22,Duan Fang ,OH,1,0,1,100.00,CHN,DIG,0,0,11834,
11,3,Diao Linyu ,S,0,0,0,,CHN,DIG,0,0,11834,
12,5,Gao Yi ,MB,0,0,0,,CHN,DIG,0,0,11834,
0,10,Liu Xiaotong ,OH,4,0,4,100.00,CHN,DIG,1,23,11834,0
1,18,Wang Mengjie ,L,4,0,4,100.00,CHN,DIG,1,23,11834,0
2,9,Zhang Changning (C),OH,3,0,3,100.00,CHN,DIG,1,23,11834,0
3,19,Liu Yanhan ,OH,2,0,2,100.00,CHN,DIG,1,23,11834,0
4,7,Wang Yuanyuan ,MB,1,0,1,100.00,CHN,DIG,1,23,11834,0
5,11,Yao Di ,S,1,0,1,100.00,CHN,DIG,1,23,11834,0
6,3,Diao Linyu ,S,0,0,0,,CHN,DIG,1,23,11834,0
7,4,Yang Hanyu ,MB,0,0,0,,CHN,DIG,1,23,11834,0
8,5,Gao Yi ,MB,0,0,0,,CHN,DIG,1,23,11834,0
9,8,Li Yao ,OH,0,0,0,,CHN,DIG,1,23,11834,0
10,14,Zheng Yixin ,O,0,0,0,,CHN,DIG,1,23,11834,0
11,15,Lin Li ,L,0,0,0,,CHN,DIG,1,23,11834,0
12,22,Duan Fang ,OH,0,0,0,,CHN,DIG,1,23,11834,0
0,8,Li Yao ,OH,3,1,4,50.00,CHN,DIG,2,25,11834,1
1,18,Wang Mengjie ,L,3,0,4,75.00,CHN,DIG,2,25,11834,1
2,9,Zhang Changning (C),OH,2,0,3,66.67,CHN,DIG,2,25,11834,1
3,19,Liu Yanhan ,OH,2,0,2,100.00,CHN,DIG,2,25,11834,1
4,11,Yao Di ,S,1,0,1,100.00,CHN,DIG,2,25,11834,1
5,15,Lin Li ,L,1,1,2,0.00,CHN,DIG,2,25,11834,1
6,3,Diao Linyu ,S,0,0,0,,CHN,DIG,2,25,11834,1
7,4,Yang Hanyu ,MB,0,0,0,,CHN,DIG,2,25,11834,1
8,5,Gao Yi ,MB,0,0,0,,CHN,DIG,2,25,11834,1
9,7,Wang Yuanyuan ,MB,0,0,0,,CHN,DIG,2,25,11834,1
10,10,Liu Xiaotong ,OH,0,0,0,,CHN,DIG,2,25,11834,1
11,14,Zheng Yixin ,O,0,0,0,,CHN,DIG,2,25,11834,1
12,22,Duan Fang ,OH,0,0,0,,CHN,DIG,2,25,11834,1
0,9,Zhang Changning (C),OH,4,0,4,100.00,CHN,DIG,3,25,11834,1
1,11,Yao Di ,S,3,0,3,100.00,CHN,DIG,3,25,11834,1
2,8,Li Yao ,OH,2,0,2,100.00,CHN,DIG,3,25,11834,1
3,4,Yang Hanyu ,MB,1,0,1,100.00,CHN,DIG,3,25,11834,1
4,15,Lin Li ,L,1,1,4,0.00,CHN,DIG,3,25,11834,1
5,22,Duan Fang ,OH,1,0,1,100.00,CHN,DIG,3,25,11834,1
6,3,Diao Linyu ,S,0,0,0,,CHN,DIG,3,25,11834,1
