,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,2,Akoz Simge Sebnem ,L,25,5,33,60.61,TUR,DIG,0,0,11831,
1,7,Baladin Hande ,OH,10,0,11,90.91,TUR,DIG,0,0,11831,
2,5,Ercan Seyma ,OH,8,0,9,88.89,TUR,DIG,0,0,11831,
3,9,Diken Meliha ,O,7,0,8,87.50,TUR,DIG,0,0,11831,
4,3,Özbay Cansu ,S,5,0,7,71.43,TUR,DIG,0,0,11831,
5,4,Ivegin Tugba ,OH,5,0,5,100.00,TUR,DIG,0,0,11831,
6,11,Aydemir Akyol Naz ,S,5,0,6,83.33,TUR,DIG,0,0,11831,
7,19,Kalac Asli ,MB,4,0,4,100.00,TUR,DIG,0,0,11831,
8,13,Boz Meryem ,O,3,0,3,100.00,TUR,DIG,0,0,11831,
9,99,Karakurt Ebrar ,O,3,1,4,50.00,TUR,DIG,0,0,11831,
10,8,Guveli Yasemin ,MB,2,0,2,100.00,TUR,DIG,0,0,11831,
11,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,0,0,11831,
12,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,0,0,11831,
13,14,Erdem Dündar Eda (C),MB,0,0,2,0.00,TUR,DIG,0,0,11831,
0,4,Ivegin Tugba ,OH,4,0,4,100.00,TUR,DIG,1,25,11831,1
1,2,Akoz Simge Sebnem ,L,3,2,5,20.00,TUR,DIG,1,25,11831,1
2,13,Boz Meryem ,O,2,0,2,100.00,TUR,DIG,1,25,11831,1
3,8,Guveli Yasemin ,MB,1,0,1,100.00,TUR,DIG,1,25,11831,1
4,11,Aydemir Akyol Naz ,S,1,0,1,100.00,TUR,DIG,1,25,11831,1
5,3,Özbay Cansu ,S,0,0,0,,TUR,DIG,1,25,11831,1
6,5,Ercan Seyma ,OH,0,0,0,,TUR,DIG,1,25,11831,1
7,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,1,25,11831,1
8,7,Baladin Hande ,OH,0,0,0,,TUR,DIG,1,25,11831,1
9,9,Diken Meliha ,O,0,0,0,,TUR,DIG,1,25,11831,1
10,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,1,25,11831,1
11,14,Erdem Dündar Eda (C),MB,0,0,0,,TUR,DIG,1,25,11831,1
12,19,Kalac Asli ,MB,0,0,0,,TUR,DIG,1,25,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,,TUR,DIG,1,25,11831,1
0,7,Baladin Hande ,OH,4,0,4,100.00,TUR,DIG,2,18,11831,0
1,2,Akoz Simge Sebnem ,L,3,0,3,100.00,TUR,DIG,2,18,11831,0
2,3,Özbay Cansu ,S,1,0,2,50.00,TUR,DIG,2,18,11831,0
3,4,Ivegin Tugba ,OH,1,0,1,100.00,TUR,DIG,2,18,11831,0
4,8,Guveli Yasemin ,MB,1,0,1,100.00,TUR,DIG,2,18,11831,0
5,5,Ercan Seyma ,OH,0,0,0,,TUR,DIG,2,18,11831,0
6,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,2,18,11831,0
7,9,Diken Meliha ,O,0,0,0,,TUR,DIG,2,18,11831,0
8,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,2,18,11831,0
9,11,Aydemir Akyol Naz ,S,0,0,1,0.00,TUR,DIG,2,18,11831,0
10,13,Boz Meryem ,O,0,0,0,,TUR,DIG,2,18,11831,0
11,14,Erdem Dündar Eda (C),MB,0,0,0,,TUR,DIG,2,18,11831,0
12,19,Kalac Asli ,MB,0,0,0,,TUR,DIG,2,18,11831,0
13,99,Karakurt Ebrar ,O,0,0,0,,TUR,DIG,2,18,11831,0
0,2,Akoz Simge Sebnem ,L,9,1,11,72.73,TUR,DIG,3,25,11831,1
1,9,Diken Meliha ,O,4,0,4,100.00,TUR,DIG,3,25,11831,1
2,7,Baladin Hande ,OH,2,0,2,100.00,TUR,DIG,3,25,11831,1
3,11,Aydemir Akyol Naz ,S,2,0,2,100.00,TUR,DIG,3,25,11831,1
4,5,Ercan Seyma ,OH,1,0,2,50.00,TUR,DIG,3,25,11831,1
5,13,Boz Meryem ,O,1,0,1,100.00,TUR,DIG,3,25,11831,1
6,99,Karakurt Ebrar ,O,1,0,1,100.00,TUR,DIG,3,25,11831,1
7,3,Özbay Cansu ,S,0,0,0,,TUR,DIG,3,25,11831,1
8,4,Ivegin Tugba ,OH,0,0,0,,TUR,DIG,3,25,11831,1
9,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,3,25,11831,1
10,8,Guveli Yasemin ,MB,0,0,0,,TUR,DIG,3,25,11831,1
11,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,3,25,11831,1
12,14,Erdem Dündar Eda (C),MB,0,0,0,,TUR,DIG,3,25,11831,1
13,19,Kalac Asli ,MB,0,0,0,,TUR,DIG,3,25,11831,1
0,2,Akoz Simge Sebnem ,L,7,0,7,100.00,TUR,DIG,4,22,11831,0
1,3,Özbay Cansu ,S,4,0,5,80.00,TUR,DIG,4,22,11831,0
2,7,Baladin Hande ,OH,4,0,5,80.00,TUR,DIG,4,22,11831,0
3,9,Diken Meliha ,O,2,0,3,66.67,TUR,DIG,4,22,11831,0
4,19,Kalac Asli ,MB,2,0,2,100.00,TUR,DIG,4,22,11831,0
5,99,Karakurt Ebrar ,O,2,1,3,33.33,TUR,DIG,4,22,11831,0
6,4,Ivegin Tugba ,OH,0,0,0,,TUR,DIG,4,22,11831,0
7,5,Ercan Seyma ,OH,0,0,0,,TUR,DIG,4,22,11831,0
8,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,4,22,11831,0
9,8,Guveli Yasemin ,MB,0,0,0,,TUR,DIG,4,22,11831,0
10,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,4,22,11831,0
11,11,Aydemir Akyol Naz ,S,0,0,0,,TUR,DIG,4,22,11831,0
12,13,Boz Meryem ,O,0,0,0,,TUR,DIG,4,22,11831,0
13,14,Erdem Dündar Eda (C),MB,0,0,0,,TUR,DIG,4,22,11831,0
0,5,Ercan Seyma ,OH,7,0,7,100.00,TUR,DIG,5,16,11831,1
1,2,Akoz Simge Sebnem ,L,3,2,7,14.29,TUR,DIG,5,16,11831,1
2,11,Aydemir Akyol Naz ,S,2,0,2,100.00,TUR,DIG,5,16,11831,1
3,19,Kalac Asli ,MB,2,0,2,100.00,TUR,DIG,5,16,11831,1
4,9,Diken Meliha ,O,1,0,1,100.00,TUR,DIG,5,16,11831,1
5,3,Özbay Cansu ,S,0,0,0,,TUR,DIG,5,16,11831,1
6,4,Ivegin Tugba ,OH,0,0,0,,TUR,DIG,5,16,11831,1
7,6,Akman Kubra ,MB,0,0,0,,TUR,DIG,5,16,11831,1
8,7,Baladin Hande ,OH,0,0,0,,TUR,DIG,5,16,11831,1
9,8,Guveli Yasemin ,MB,0,0,0,,TUR,DIG,5,16,11831,1
10,10,Aykac Altıntaş Ayca ,L,0,0,0,,TUR,DIG,5,16,11831,1
11,13,Boz Meryem ,O,0,0,0,,TUR,DIG,5,16,11831,1
12,14,Erdem Dündar Eda (C),MB,0,0,2,0.00,TUR,DIG,5,16,11831,1
13,99,Karakurt Ebrar ,O,0,0,0,,TUR,DIG,5,16,11831,1
