num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
13800,3,ITA,1.0,17,10,18,3,16,3,13,3,0,1,0.317
13801,0,SRB,,51,29,33,30,43,11,27,3,4,8,0.142
13801,0,TUR,,63,30,47,23,47,13,33,4,3,10,0.097
13801,1,SRB,1.0,12,3,4,9,5,2,3,0,1,3,0.16
13801,1,TUR,0.0,13,8,5,6,7,4,7,1,0,2,0.062
13801,2,SRB,0.0,7,7,6,4,7,1,4,2,0,1,0.152
13801,2,TUR,1.0,15,5,13,4,9,1,3,0,2,2,0.125
13801,3,SRB,0.0,9,11,9,6,13,3,9,1,1,0,0.154
13801,3,TUR,1.0,12,7,15,4,11,3,4,1,1,1,0.1
13801,4,SRB,1.0,14,5,10,6,13,4,7,0,1,3,0.118
13801,4,TUR,0.0,14,6,10,7,16,3,10,1,0,4,0.073
13801,5,SRB,1.0,9,3,4,5,5,1,4,0,1,1,0.118
13801,5,TUR,0.0,9,4,4,2,4,2,9,1,0,1,0.15
13802,0,DOM,,69,18,38,18,51,28,22,2,3,9,0.22
13802,0,NED,,67,20,24,21,58,13,45,3,2,9,0.287
13802,1,DOM,0.0,15,7,8,3,10,12,4,0,1,1,0.237
13802,1,NED,1.0,17,4,4,4,13,4,8,1,0,3,0.263
13802,2,DOM,1.0,17,3,11,2,15,5,2,0,0,1,0.146
13802,2,NED,0.0,15,5,4,6,12,1,11,0,0,3,0.326
13802,3,DOM,1.0,19,3,6,4,10,4,7,1,0,5,0.324
13802,3,NED,0.0,12,2,6,3,12,5,11,0,1,3,0.265
13802,4,DOM,0.0,11,4,4,7,8,5,8,1,0,2,0.3
13802,4,NED,1.0,17,3,8,5,15,3,9,0,1,0,0.273
13802,5,DOM,1.0,7,1,9,2,8,2,1,0,2,0,0.0
13802,5,NED,0.0,6,6,2,3,6,0,6,2,0,0,0.304
13803,0,POL,,35,15,15,17,33,14,19,1,1,7,0.04
13803,0,USA,,51,9,31,11,46,10,13,1,1,3,0.174
13803,1,POL,0.0,10,5,5,3,8,7,6,1,0,2,0.0
13803,1,USA,1.0,16,1,9,1,16,1,4,0,1,1,0.308
13803,2,POL,0.0,12,5,4,5,10,4,6,0,1,2,0.067
13803,2,USA,1.0,18,6,11,5,13,4,6,1,0,2,0.167
13803,3,POL,0.0,13,5,6,9,15,3,7,0,0,3,0.053
13803,3,USA,1.0,17,2,11,5,17,5,3,0,0,0,0.067
13804,0,CAN,,46,22,27,11,50,16,14,9,5,12,0.2
13804,0,CHN,,50,13,30,14,65,11,15,5,9,5,0.202
13804,1,CAN,0.0,9,9,3,2,10,2,5,4,2,5,0.179
13804,1,CHN,1.0,7,3,10,4,6,1,3,2,4,2,0.333
13804,2,CAN,1.0,17,1,10,7,18,4,3,1,2,3,0.25
13804,2,CHN,0.0,13,4,6,4,19,5,5,2,1,1,0.105
13804,3,CAN,0.0,8,5,4,1,7,5,2,2,0,4,0.174
13804,3,CHN,1.0,14,2,5,2,18,1,3,0,2,1,0.261
13804,4,CAN,0.0,12,7,10,1,15,5,4,2,1,0,0.189
13804,4,CHN,1.0,16,4,9,4,22,4,4,1,2,1,0.2
13805,0,JPN,,51,11,39,7,68,9,17,0,0,7,0.264
13805,0,THA,,34,13,31,16,53,16,25,0,0,7,0.302
13805,1,JPN,1.0,17,5,12,3,24,4,5,0,0,4,0.156
13805,1,THA,0.0,13,5,14,7,19,5,7,0,0,3,0.325
13805,2,JPN,1.0,17,2,12,3,23,3,5,0,0,1,0.308
13805,2,THA,0.0,13,1,9,3,17,5,8,0,0,4,0.256
13805,3,JPN,1.0,17,4,15,1,21,2,7,0,0,2,0.341
13805,3,THA,0.0,8,7,8,6,17,6,10,0,0,0,0.333
13806,0,BRA,,40,26,14,18,23,8,33,1,5,11,0.298
13806,0,ITA,,47,14,29,14,29,9,21,5,1,12,0.267
13806,1,BRA,0.0,11,6,1,3,6,4,8,0,2,4,0.25
13806,1,ITA,1.0,14,3,9,4,10,2,4,2,0,1,0.316
13806,2,BRA,0.0,11,6,2,4,6,4,9,1,1,5,0.333
13806,2,ITA,1.0,11,0,8,4,9,5,4,1,1,3,0.389
13806,3,BRA,1.0,11,2,10,4,8,0,6,0,2,2,0.286
13806,3,ITA,0.0,10,8,3,4,7,1,5,2,0,4,0.194
13806,4,BRA,0.0,7,12,1,7,3,0,10,0,0,0,0.32
13806,4,ITA,1.0,12,3,9,2,3,1,8,0,0,4,0.222
13807,0,GER,,34,19,17,14,19,14,29,2,6,9,0.22
13807,0,TUR,,44,15,30,14,30,5,18,6,2,8,0.299
13807,1,GER,0.0,8,7,8,5,7,4,11,0,0,2,0.25
13807,1,TUR,1.0,16,8,10,4,11,1,5,0,0,6,0.375
13807,2,GER,0.0,12,7,6,8,8,4,8,0,3,1,0.25
13807,2,TUR,1.0,16,3,11,4,12,1,9,3,0,1,0.176
13807,3,GER,0.0,14,5,3,1,4,6,10,2,3,6,0.161
13807,3,TUR,1.0,12,4,9,6,7,3,4,3,2,1,0.381
13808,0,KOR,,34,11,13,16,27,10,24,2,3,12,0.255
13808,0,NED,,47,5,20,11,41,8,17,3,2,7,0.274
13808,1,KOR,0.0,6,5,2,4,7,5,8,1,1,5,0.222
13808,1,NED,1.0,12,1,9,4,9,0,3,1,1,3,0.2
13808,2,KOR,0.0,16,2,4,5,12,1,7,1,1,4,0.162
13808,2,NED,1.0,17,2,5,4,13,5,8,1,1,2,0.233
