Unnamed: 0,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
10,24,Irisawa Mai ,MB,0,2,3,5,-40.0,JPN,BLOCK,3,25,16113,1.0
11,29,Nishimura Minami ,L,0,0,0,0,,JPN,BLOCK,3,25,16113,1.0
12,34,Araki Ayaka ,MB,0,0,0,0,,JPN,BLOCK,3,25,16113,1.0
13,37,Wada Yukiko ,OH,0,0,0,0,,JPN,BLOCK,3,25,16113,1.0
0,5,Korneluk Agnieszka (C),MB,3,6,3,12,-25.0,POL,BLOCK,0,0,16115,
1,9,Stysiak Magdalena ,O,3,5,5,13,-15.38,POL,BLOCK,0,0,16115,
2,95,Jurczyk Magdalena ,MB,2,1,5,8,12.5,POL,BLOCK,0,0,16115,
3,7,Galkowska Monika ,O,1,0,1,2,50.0,POL,BLOCK,0,0,16115,
4,15,Czyrnianska Martyna ,OH,1,1,1,3,0.0,POL,BLOCK,0,0,16115,
5,27,Pacak Joanna ,MB,1,2,2,5,-20.0,POL,BLOCK,0,0,16115,
6,30,Rozanski Olivia ,OH,1,1,1,3,0.0,POL,BLOCK,0,0,16115,
7,62,Nowicka Julia ,S,1,3,3,7,-28.57,POL,BLOCK,0,0,16115,
8,1,Stenzel Maria ,L,0,0,0,0,,POL,BLOCK,0,0,16115,
9,10,Fedusio Monika ,OH,0,0,0,0,,POL,BLOCK,0,0,16115,
10,11,Lukasik Martyna ,OH,0,0,0,0,,POL,BLOCK,0,0,16115,
11,12,Szczyglowska Aleksandra ,OH,0,0,0,0,,POL,BLOCK,0,0,16115,
12,23,Pierzchała Dominika ,MB,0,0,0,0,,POL,BLOCK,0,0,16115,
13,26,Wenerska Katarzyna ,S,0,0,0,0,,POL,BLOCK,0,0,16115,
0,95,Jurczyk Magdalena ,MB,2,1,1,4,25.0,POL,BLOCK,1,25,16115,1.0
1,5,Korneluk Agnieszka (C),MB,1,3,2,6,-33.33,POL,BLOCK,1,25,16115,1.0
2,30,Rozanski Olivia ,OH,1,1,0,2,0.0,POL,BLOCK,1,25,16115,1.0
3,1,Stenzel Maria ,L,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
4,7,Galkowska Monika ,O,0,0,1,1,0.0,POL,BLOCK,1,25,16115,1.0
5,9,Stysiak Magdalena ,O,0,2,3,5,-40.0,POL,BLOCK,1,25,16115,1.0
6,10,Fedusio Monika ,OH,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
7,11,Lukasik Martyna ,OH,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
8,12,Szczyglowska Aleksandra ,OH,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
9,15,Czyrnianska Martyna ,OH,0,1,0,1,-100.0,POL,BLOCK,1,25,16115,1.0
10,23,Pierzchała Dominika ,MB,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
11,26,Wenerska Katarzyna ,S,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
12,27,Pacak Joanna ,MB,0,0,0,0,,POL,BLOCK,1,25,16115,1.0
13,62,Nowicka Julia ,S,0,1,0,1,-100.0,POL,BLOCK,1,25,16115,1.0
0,5,Korneluk Agnieszka (C),MB,2,3,1,6,-16.67,POL,BLOCK,2,25,16115,1.0
1,9,Stysiak Magdalena ,O,1,2,1,4,-25.0,POL,BLOCK,2,25,16115,1.0
2,62,Nowicka Julia ,S,1,1,2,4,0.0,POL,BLOCK,2,25,16115,1.0
3,1,Stenzel Maria ,L,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
4,7,Galkowska Monika ,O,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
5,10,Fedusio Monika ,OH,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
6,11,Lukasik Martyna ,OH,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
7,12,Szczyglowska Aleksandra ,OH,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
8,15,Czyrnianska Martyna ,OH,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
9,23,Pierzchała Dominika ,MB,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
10,26,Wenerska Katarzyna ,S,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
11,27,Pacak Joanna ,MB,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
12,30,Rozanski Olivia ,OH,0,0,0,0,,POL,BLOCK,2,25,16115,1.0
13,95,Jurczyk Magdalena ,MB,0,0,4,4,0.0,POL,BLOCK,2,25,16115,1.0
0,9,Stysiak Magdalena ,O,2,1,1,4,25.0,POL,BLOCK,3,25,16115,1.0
1,7,Galkowska Monika ,O,1,0,0,1,100.0,POL,BLOCK,3,25,16115,1.0
2,15,Czyrnianska Martyna ,OH,1,0,1,2,50.0,POL,BLOCK,3,25,16115,1.0
3,27,Pacak Joanna ,MB,1,2,2,5,-20.0,POL,BLOCK,3,25,16115,1.0
4,1,Stenzel Maria ,L,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
5,5,Korneluk Agnieszka (C),MB,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
6,10,Fedusio Monika ,OH,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
7,11,Lukasik Martyna ,OH,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
8,12,Szczyglowska Aleksandra ,OH,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
9,23,Pierzchała Dominika ,MB,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
10,26,Wenerska Katarzyna ,S,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
11,30,Rozanski Olivia ,OH,0,0,1,1,0.0,POL,BLOCK,3,25,16115,1.0
12,62,Nowicka Julia ,S,0,1,1,2,-50.0,POL,BLOCK,3,25,16115,1.0
13,95,Jurczyk Magdalena ,MB,0,0,0,0,,POL,BLOCK,3,25,16115,1.0
0,2,Lee Juah ,MB,1,4,1,6,-50.0,KOR,BLOCK,0,0,16115,
1,14,Lee Dahyeon ,MB,1,2,4,7,-14.29,KOR,BLOCK,0,0,16115,
2,16,Jeong Jiyun ,OH,1,3,2,6,-33.33,KOR,BLOCK,0,0,16115,
3,1,Kim Daeun ,O,0,2,3,5,-40.0,KOR,BLOCK,0,0,16115,
4,3,Yeum Hye Seon ,S,0,0,0,0,,KOR,BLOCK,0,0,16115,
5,5,Kim Dain ,S,0,3,3,6,-50.0,KOR,BLOCK,0,0,16115,
6,7,Kim Jiwon ,S,0,0,0,0,,KOR,BLOCK,0,0,16115,
7,12,Moon Jungwon ,L,0,0,0,0,,KOR,BLOCK,0,0,16115,
8,13,Park Jeongah (C),OH,0,0,1,1,0.0,KOR,BLOCK,0,0,16115,
9,17,Jung Hoyoung ,MB,0,0,0,0,,KOR,BLOCK,0,0,16115,
10,18,Kim Miyoun ,OH,0,0,0,0,,KOR,BLOCK,0,0,16115,
11,19,Pyo Seungju ,OH,0,0,0,0,,KOR,BLOCK,0,0,16115,
12,71,Moon Jiyun ,O,0,0,0,0,,KOR,BLOCK,0,0,16115,
13,97,Kang Sohwi ,OH,0,0,0,0,,KOR,BLOCK,0,0,16115,
0,16,Jeong Jiyun ,OH,1,1,1,3,0.0,KOR,BLOCK,1,23,16115,0.0
1,1,Kim Daeun ,O,0,2,2,4,-50.0,KOR,BLOCK,1,23,16115,0.0
2,2,Lee Juah ,MB,0,1,0,1,-100.0,KOR,BLOCK,1,23,16115,0.0
3,3,Yeum Hye Seon ,S,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
4,5,Kim Dain ,S,0,3,0,3,-100.0,KOR,BLOCK,1,23,16115,0.0
5,7,Kim Jiwon ,S,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
6,12,Moon Jungwon ,L,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
7,13,Park Jeongah (C),OH,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
8,14,Lee Dahyeon ,MB,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
9,17,Jung Hoyoung ,MB,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
10,18,Kim Miyoun ,OH,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
11,19,Pyo Seungju ,OH,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
12,71,Moon Jiyun ,O,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
13,97,Kang Sohwi ,OH,0,0,0,0,,KOR,BLOCK,1,23,16115,0.0
0,1,Kim Daeun ,O,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
1,2,Lee Juah ,MB,0,1,1,2,-50.0,KOR,BLOCK,2,18,16115,0.0
2,3,Yeum Hye Seon ,S,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
3,5,Kim Dain ,S,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
4,7,Kim Jiwon ,S,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
5,12,Moon Jungwon ,L,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
6,13,Park Jeongah (C),OH,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
7,14,Lee Dahyeon ,MB,0,2,2,4,-50.0,KOR,BLOCK,2,18,16115,0.0
8,16,Jeong Jiyun ,OH,0,2,1,3,-66.67,KOR,BLOCK,2,18,16115,0.0
9,17,Jung Hoyoung ,MB,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
10,18,Kim Miyoun ,OH,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
11,19,Pyo Seungju ,OH,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
12,71,Moon Jiyun ,O,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
13,97,Kang Sohwi ,OH,0,0,0,0,,KOR,BLOCK,2,18,16115,0.0
0,2,Lee Juah ,MB,1,2,0,3,-33.33,KOR,BLOCK,3,16,16115,0.0
1,14,Lee Dahyeon ,MB,1,0,2,3,33.33,KOR,BLOCK,3,16,16115,0.0
2,1,Kim Daeun ,O,0,0,1,1,0.0,KOR,BLOCK,3,16,16115,0.0
3,3,Yeum Hye Seon ,S,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
4,5,Kim Dain ,S,0,0,3,3,0.0,KOR,BLOCK,3,16,16115,0.0
5,7,Kim Jiwon ,S,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
6,12,Moon Jungwon ,L,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
7,13,Park Jeongah (C),OH,0,0,1,1,0.0,KOR,BLOCK,3,16,16115,0.0
8,16,Jeong Jiyun ,OH,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
9,17,Jung Hoyoung ,MB,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
10,18,Kim Miyoun ,OH,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
11,19,Pyo Seungju ,OH,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
12,71,Moon Jiyun ,O,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
13,97,Kang Sohwi ,OH,0,0,0,0,,KOR,BLOCK,3,16,16115,0.0
0,1,Yuan Xinyue (C),MB,3,6,4,13,-23.08,CHN,BLOCK,0,0,16117,
1,5,Gao Yi ,MB,3,1,5,9,22.22,CHN,BLOCK,0,0,16117,
2,3,Diao Linyu ,S,2,4,2,8,-25.0,CHN,BLOCK,0,0,16117,
3,6,Gong Xiangyu ,O,1,3,5,9,-22.22,CHN,BLOCK,0,0,16117,
4,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,0,0,16117,
5,7,Wang Yuanyuan ,MB,0,2,0,2,-100.0,CHN,BLOCK,0,0,16117,
6,8,Xu Xiaoting ,S,0,1,1,2,-50.0,CHN,BLOCK,0,0,16117,
7,10,Wang Yunlu ,OH,0,4,6,10,-40.0,CHN,BLOCK,0,0,16117,
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,0,0,16117,
9,12,Li Yingying ,OH,0,1,4,5,-20.0,CHN,BLOCK,0,0,16117,
10,14,Zheng Yixin ,O,0,0,1,1,0.0,CHN,BLOCK,0,0,16117,
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,0,0,16117,
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,0,0,16117,
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,0,0,16117,
0,1,Yuan Xinyue (C),MB,0,2,0,2,-100.0,CHN,BLOCK,1,18,16117,0.0
1,3,Diao Linyu ,S,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
2,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
3,5,Gao Yi ,MB,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
4,6,Gong Xiangyu ,O,0,1,0,1,-100.0,CHN,BLOCK,1,18,16117,0.0
5,7,Wang Yuanyuan ,MB,0,2,0,2,-100.0,CHN,BLOCK,1,18,16117,0.0
6,8,Xu Xiaoting ,S,0,1,1,2,-50.0,CHN,BLOCK,1,18,16117,0.0
7,10,Wang Yunlu ,OH,0,1,1,2,-50.0,CHN,BLOCK,1,18,16117,0.0
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
9,12,Li Yingying ,OH,0,0,2,2,0.0,CHN,BLOCK,1,18,16117,0.0
10,14,Zheng Yixin ,O,0,0,1,1,0.0,CHN,BLOCK,1,18,16117,0.0
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,1,18,16117,0.0
0,1,Yuan Xinyue (C),MB,1,2,0,3,-33.33,CHN,BLOCK,2,25,16117,1.0
1,5,Gao Yi ,MB,1,1,1,3,0.0,CHN,BLOCK,2,25,16117,1.0
2,3,Diao Linyu ,S,0,1,0,1,-100.0,CHN,BLOCK,2,25,16117,1.0
3,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
4,6,Gong Xiangyu ,O,0,1,1,2,-50.0,CHN,BLOCK,2,25,16117,1.0
5,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
6,8,Xu Xiaoting ,S,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
7,10,Wang Yunlu ,OH,0,1,3,4,-25.0,CHN,BLOCK,2,25,16117,1.0
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
9,12,Li Yingying ,OH,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
10,14,Zheng Yixin ,O,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,2,25,16117,1.0
0,1,Yuan Xinyue (C),MB,1,1,1,3,0.0,CHN,BLOCK,3,19,16117,0.0
1,6,Gong Xiangyu ,O,1,1,1,3,0.0,CHN,BLOCK,3,19,16117,0.0
2,3,Diao Linyu ,S,0,1,1,2,-50.0,CHN,BLOCK,3,19,16117,0.0
3,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
4,5,Gao Yi ,MB,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
5,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
6,8,Xu Xiaoting ,S,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
7,10,Wang Yunlu ,OH,0,0,1,1,0.0,CHN,BLOCK,3,19,16117,0.0
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
9,12,Li Yingying ,OH,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
10,14,Zheng Yixin ,O,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,3,19,16117,0.0
0,5,Gao Yi ,MB,2,0,4,6,33.33,CHN,BLOCK,4,25,16117,1.0
1,1,Yuan Xinyue (C),MB,0,1,0,1,-100.0,CHN,BLOCK,4,25,16117,1.0
2,3,Diao Linyu ,S,0,1,0,1,-100.0,CHN,BLOCK,4,25,16117,1.0
3,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
4,6,Gong Xiangyu ,O,0,0,2,2,0.0,CHN,BLOCK,4,25,16117,1.0
5,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
6,8,Xu Xiaoting ,S,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
7,10,Wang Yunlu ,OH,0,2,1,3,-66.67,CHN,BLOCK,4,25,16117,1.0
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
9,12,Li Yingying ,OH,0,1,0,1,-100.0,CHN,BLOCK,4,25,16117,1.0
10,14,Zheng Yixin ,O,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,4,25,16117,1.0
0,3,Diao Linyu ,S,2,1,1,4,25.0,CHN,BLOCK,5,15,16117,1.0
1,1,Yuan Xinyue (C),MB,1,0,3,4,25.0,CHN,BLOCK,5,15,16117,1.0
2,4,Yang Hanyu ,MB,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
3,5,Gao Yi ,MB,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
4,6,Gong Xiangyu ,O,0,0,1,1,0.0,CHN,BLOCK,5,15,16117,1.0
5,7,Wang Yuanyuan ,MB,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
6,8,Xu Xiaoting ,S,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
7,10,Wang Yunlu ,OH,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
8,11,Zhong Hui ,OH,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
9,12,Li Yingying ,OH,0,0,2,2,0.0,CHN,BLOCK,5,15,16117,1.0
10,14,Zheng Yixin ,O,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
11,17,Ni Feifan ,L,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
12,18,Wang Mengjie ,L,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
13,23,Du Qingqing ,OH,0,0,0,0,,CHN,BLOCK,5,15,16117,1.0
0,16,Rettke Dana ,MB,2,3,7,12,-8.33,USA,BLOCK,0,0,16117,
1,11,Drews Andrea ,O,1,10,3,14,-64.29,USA,BLOCK,0,0,16117,
2,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,0,0,16117,
3,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,0,0,16117,
4,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,0,0,16117,
5,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,0,0,16117,
6,7,Carlini Lauren ,S,0,4,5,9,-44.44,USA,BLOCK,0,0,16117,
7,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,0,0,16117,
8,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,0,0,16117,
9,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,0,0,16117,
10,15,Washington Haleigh ,MB,0,1,4,5,-20.0,USA,BLOCK,0,0,16117,
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,0,0,16117,
12,22,Plummer Kathryn ,OH,0,3,1,4,-75.0,USA,BLOCK,0,0,16117,
13,23,Robinson Kelsey ,OH,0,7,3,10,-70.0,USA,BLOCK,0,0,16117,
0,11,Drews Andrea ,O,1,1,1,3,0.0,USA,BLOCK,1,25,16117,1.0
1,16,Rettke Dana ,MB,1,0,3,4,25.0,USA,BLOCK,1,25,16117,1.0
2,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
3,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
4,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
5,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
6,7,Carlini Lauren ,S,0,3,2,5,-60.0,USA,BLOCK,1,25,16117,1.0
7,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
8,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
9,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
10,15,Washington Haleigh ,MB,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
12,22,Plummer Kathryn ,OH,0,0,0,0,,USA,BLOCK,1,25,16117,1.0
13,23,Robinson Kelsey ,OH,0,0,2,2,0.0,USA,BLOCK,1,25,16117,1.0
0,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
1,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
2,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
3,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
4,7,Carlini Lauren ,S,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
5,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
6,11,Drews Andrea ,O,0,1,0,1,-100.0,USA,BLOCK,2,19,16117,0.0
7,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
8,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
9,15,Washington Haleigh ,MB,0,1,1,2,-50.0,USA,BLOCK,2,19,16117,0.0
10,16,Rettke Dana ,MB,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,2,19,16117,0.0
12,22,Plummer Kathryn ,OH,0,2,0,2,-100.0,USA,BLOCK,2,19,16117,0.0
13,23,Robinson Kelsey ,OH,0,1,0,1,-100.0,USA,BLOCK,2,19,16117,0.0
0,16,Rettke Dana ,MB,1,0,2,3,33.33,USA,BLOCK,3,25,16117,1.0
1,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
2,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
3,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
4,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
5,7,Carlini Lauren ,S,0,0,2,2,0.0,USA,BLOCK,3,25,16117,1.0
6,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
7,11,Drews Andrea ,O,0,5,2,7,-71.43,USA,BLOCK,3,25,16117,1.0
8,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
9,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
10,15,Washington Haleigh ,MB,0,0,1,1,0.0,USA,BLOCK,3,25,16117,1.0
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
12,22,Plummer Kathryn ,OH,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
13,23,Robinson Kelsey ,OH,0,0,0,0,,USA,BLOCK,3,25,16117,1.0
0,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
1,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
2,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
3,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
4,7,Carlini Lauren ,S,0,1,1,2,-50.0,USA,BLOCK,4,20,16117,0.0
5,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
6,11,Drews Andrea ,O,0,2,0,2,-100.0,USA,BLOCK,4,20,16117,0.0
7,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
8,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
9,15,Washington Haleigh ,MB,0,0,1,1,0.0,USA,BLOCK,4,20,16117,0.0
10,16,Rettke Dana ,MB,0,1,1,2,-50.0,USA,BLOCK,4,20,16117,0.0
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,4,20,16117,0.0
12,22,Plummer Kathryn ,OH,0,1,1,2,-50.0,USA,BLOCK,4,20,16117,0.0
13,23,Robinson Kelsey ,OH,0,4,1,5,-80.0,USA,BLOCK,4,20,16117,0.0
0,1,Hancock Micha ,S,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
1,4,Wong-Orantes Justine (C),L,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
2,5,Frantti Alexandra ,OH,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
3,6,Hentz Morgan ,L,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
4,7,Carlini Lauren ,S,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
5,8,Butler Brionne ,MB,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
6,11,Drews Andrea ,O,0,1,0,1,-100.0,USA,BLOCK,5,8,16117,0.0
7,12,Thompson Jordan ,O,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
8,14,Stevenson Anna ,MB,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
9,15,Washington Haleigh ,MB,0,0,1,1,0.0,USA,BLOCK,5,8,16117,0.0
10,16,Rettke Dana ,MB,0,2,1,3,-66.67,USA,BLOCK,5,8,16117,0.0
11,18,Bajema Kara ,OH,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
12,22,Plummer Kathryn ,OH,0,0,0,0,,USA,BLOCK,5,8,16117,0.0
13,23,Robinson Kelsey ,OH,0,2,0,2,-100.0,USA,BLOCK,5,8,16117,0.0
0,15,Nwakalor Sylvia Chinelo ,O,5,5,10,20,0.0,ITA,BLOCK,0,0,16118,
1,11,Danesi Anna (C),MB,4,3,5,12,8.33,ITA,BLOCK,0,0,16118,
2,4,Bosio Francesca ,S,2,3,6,11,-9.09,ITA,BLOCK,0,0,16118,
3,12,Mazzaro Alessia ,MB,2,1,3,6,16.67,ITA,BLOCK,0,0,16118,
4,19,Squarcini Federica ,MB,2,0,4,6,33.33,ITA,BLOCK,0,0,16118,
5,21,Omoruyi Oghosasere Loveth ,OH,2,1,2,5,20.0,ITA,BLOCK,0,0,16118,
6,2,Degradi Alice Carlotta ,OH,1,0,1,2,50.0,ITA,BLOCK,0,0,16118,
7,3,Villani Francesca ,OH,0,0,0,0,,ITA,BLOCK,0,0,16118,
8,16,D'Odorico Sofia ,OH,0,2,3,5,-40.0,ITA,BLOCK,0,0,16118,
9,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,BLOCK,0,0,16118,
