Unnamed: 0,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
2,5,Knollema Jolien ,OH,5,1,12,33.33,NED,DIG,0,0,16024,
3,24,Mulder Vera ,OH,5,3,8,25.0,NED,DIG,0,0,16024,
4,26,Dambrink Elles ,O,5,0,7,71.43,NED,DIG,0,0,16024,
5,23,Timmerman Eline ,MB,3,1,7,28.57,NED,DIG,0,0,16024,
6,14,Dijkema Laura (C),S,2,1,6,16.67,NED,DIG,0,0,16024,
7,16,Baijens Indy ,MB,2,1,5,20.0,NED,DIG,0,0,16024,
8,10,van Aalen Sarah ,S,1,0,4,25.0,NED,DIG,0,0,16024,
9,17,Vos Iris ,OH,1,0,3,33.33,NED,DIG,0,0,16024,
10,33,Marring Nova ,OH,1,0,2,50.0,NED,DIG,0,0,16024,
11,13,de Haan Jolijn ,O,0,0,0,,NED,DIG,0,0,16024,
12,21,Stuut Britte ,MB,0,0,1,0.0,NED,DIG,0,0,16024,
13,25,Reesink Florien ,L,0,0,0,,NED,DIG,0,0,16024,
0,3,Jasper Hester ,OH,3,0,3,100.0,NED,DIG,1,21,16024,0.0
1,5,Knollema Jolien ,OH,2,0,5,40.0,NED,DIG,1,21,16024,0.0
2,26,Dambrink Elles ,O,2,0,3,66.67,NED,DIG,1,21,16024,0.0
3,14,Dijkema Laura (C),S,1,1,4,0.0,NED,DIG,1,21,16024,0.0
4,23,Timmerman Eline ,MB,1,0,3,33.33,NED,DIG,1,21,16024,0.0
5,1,Knip Kirsten ,L,0,1,2,-50.0,NED,DIG,1,21,16024,0.0
6,10,van Aalen Sarah ,S,0,0,0,,NED,DIG,1,21,16024,0.0
7,13,de Haan Jolijn ,O,0,0,0,,NED,DIG,1,21,16024,0.0
8,16,Baijens Indy ,MB,0,0,1,0.0,NED,DIG,1,21,16024,0.0
9,17,Vos Iris ,OH,0,0,0,,NED,DIG,1,21,16024,0.0
10,21,Stuut Britte ,MB,0,0,0,,NED,DIG,1,21,16024,0.0
11,24,Mulder Vera ,OH,0,0,0,,NED,DIG,1,21,16024,0.0
12,25,Reesink Florien ,L,0,0,0,,NED,DIG,1,21,16024,0.0
13,33,Marring Nova ,OH,0,0,0,,NED,DIG,1,21,16024,0.0
0,1,Knip Kirsten ,L,3,3,10,0.0,NED,DIG,2,22,16024,0.0
1,26,Dambrink Elles ,O,3,0,3,100.0,NED,DIG,2,22,16024,0.0
2,3,Jasper Hester ,OH,1,0,2,50.0,NED,DIG,2,22,16024,0.0
3,5,Knollema Jolien ,OH,1,0,1,100.0,NED,DIG,2,22,16024,0.0
4,16,Baijens Indy ,MB,1,1,2,0.0,NED,DIG,2,22,16024,0.0
5,17,Vos Iris ,OH,1,0,3,33.33,NED,DIG,2,22,16024,0.0
6,23,Timmerman Eline ,MB,1,0,1,100.0,NED,DIG,2,22,16024,0.0
7,10,van Aalen Sarah ,S,0,0,1,0.0,NED,DIG,2,22,16024,0.0
8,13,de Haan Jolijn ,O,0,0,0,,NED,DIG,2,22,16024,0.0
9,14,Dijkema Laura (C),S,0,0,1,0.0,NED,DIG,2,22,16024,0.0
10,21,Stuut Britte ,MB,0,0,0,,NED,DIG,2,22,16024,0.0
11,24,Mulder Vera ,OH,0,0,0,,NED,DIG,2,22,16024,0.0
12,25,Reesink Florien ,L,0,0,0,,NED,DIG,2,22,16024,0.0
13,33,Marring Nova ,OH,0,0,0,,NED,DIG,2,22,16024,0.0
0,1,Knip Kirsten ,L,2,3,6,-16.67,NED,DIG,3,25,16024,1.0
1,5,Knollema Jolien ,OH,2,0,2,100.0,NED,DIG,3,25,16024,1.0
2,24,Mulder Vera ,OH,2,1,3,33.33,NED,DIG,3,25,16024,1.0
3,3,Jasper Hester ,OH,1,1,3,0.0,NED,DIG,3,25,16024,1.0
4,14,Dijkema Laura (C),S,1,0,1,100.0,NED,DIG,3,25,16024,1.0
5,23,Timmerman Eline ,MB,1,1,2,0.0,NED,DIG,3,25,16024,1.0
6,33,Marring Nova ,OH,1,0,1,100.0,NED,DIG,3,25,16024,1.0
7,10,van Aalen Sarah ,S,0,0,1,0.0,NED,DIG,3,25,16024,1.0
8,13,de Haan Jolijn ,O,0,0,0,,NED,DIG,3,25,16024,1.0
9,16,Baijens Indy ,MB,0,0,1,0.0,NED,DIG,3,25,16024,1.0
10,17,Vos Iris ,OH,0,0,0,,NED,DIG,3,25,16024,1.0
11,21,Stuut Britte ,MB,0,0,0,,NED,DIG,3,25,16024,1.0
12,25,Reesink Florien ,L,0,0,0,,NED,DIG,3,25,16024,1.0
13,26,Dambrink Elles ,O,0,0,1,0.0,NED,DIG,3,25,16024,1.0
0,24,Mulder Vera ,OH,3,2,5,20.0,NED,DIG,4,22,16024,0.0
1,1,Knip Kirsten ,L,2,0,2,100.0,NED,DIG,4,22,16024,0.0
2,3,Jasper Hester ,OH,2,0,2,100.0,NED,DIG,4,22,16024,0.0
3,10,van Aalen Sarah ,S,1,0,2,50.0,NED,DIG,4,22,16024,0.0
4,16,Baijens Indy ,MB,1,0,1,100.0,NED,DIG,4,22,16024,0.0
5,5,Knollema Jolien ,OH,0,1,4,-25.0,NED,DIG,4,22,16024,0.0
6,13,de Haan Jolijn ,O,0,0,0,,NED,DIG,4,22,16024,0.0
7,14,Dijkema Laura (C),S,0,0,0,,NED,DIG,4,22,16024,0.0
8,17,Vos Iris ,OH,0,0,0,,NED,DIG,4,22,16024,0.0
9,21,Stuut Britte ,MB,0,0,1,0.0,NED,DIG,4,22,16024,0.0
10,23,Timmerman Eline ,MB,0,0,1,0.0,NED,DIG,4,22,16024,0.0
11,25,Reesink Florien ,L,0,0,0,,NED,DIG,4,22,16024,0.0
12,26,Dambrink Elles ,O,0,0,0,,NED,DIG,4,22,16024,0.0
13,33,Marring Nova ,OH,0,0,1,0.0,NED,DIG,4,22,16024,0.0
0,20,Parrocchiale Beatrice ,L,21,9,32,37.5,ITA,DIG,0,0,16026,
1,21,Omoruyi Oghosasere Loveth ,OH,18,2,21,76.19,ITA,DIG,0,0,16026,
2,12,Mazzaro Alessia ,MB,6,2,12,33.33,ITA,DIG,0,0,16026,
3,16,D'Odorico Sofia ,OH,6,3,12,25.0,ITA,DIG,0,0,16026,
4,2,Degradi Alice Carlotta ,OH,5,2,8,37.5,ITA,DIG,0,0,16026,
5,4,Bosio Francesca ,S,5,4,13,7.69,ITA,DIG,0,0,16026,
6,11,Danesi Anna ,MB,3,2,5,20.0,ITA,DIG,0,0,16026,
7,15,Nwakalor Sylvia Chinelo ,O,2,2,4,0.0,ITA,DIG,0,0,16026,
8,32,Malual Adhuoljok John Majak ,O,2,0,2,100.0,ITA,DIG,0,0,16026,
9,19,Squarcini Federica ,MB,1,1,2,0.0,ITA,DIG,0,0,16026,
