Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
11,14,Schölzel Marie ,MB,0,0,0,0,,GER,ATTACK,4,25,16024,1.0
12,16,Cekulaev Anastasia ,MB,0,0,0,0,,GER,ATTACK,4,25,16024,1.0
13,25,Maase Rica ,O,0,0,0,0,,GER,ATTACK,4,25,16024,1.0
0,16,Baijens Indy ,MB,14,3,6,23,47.83,NED,ATTACK,0,0,16024,
1,5,Knollema Jolien ,OH,11,3,20,34,23.53,NED,ATTACK,0,0,16024,
2,23,Timmerman Eline ,MB,10,0,4,14,71.43,NED,ATTACK,0,0,16024,
3,33,Marring Nova ,OH,8,1,7,16,43.75,NED,ATTACK,0,0,16024,
4,3,Jasper Hester ,OH,5,5,9,19,0.0,NED,ATTACK,0,0,16024,
5,26,Dambrink Elles ,O,5,3,5,13,15.38,NED,ATTACK,0,0,16024,
6,24,Mulder Vera ,OH,4,3,4,11,9.09,NED,ATTACK,0,0,16024,
7,10,van Aalen Sarah ,S,1,0,0,1,100.0,NED,ATTACK,0,0,16024,
8,1,Knip Kirsten ,L,0,0,0,0,,NED,ATTACK,0,0,16024,
9,13,de Haan Jolijn ,O,0,0,0,0,,NED,ATTACK,0,0,16024,
10,14,Dijkema Laura (C),S,0,0,1,1,0.0,NED,ATTACK,0,0,16024,
11,17,Vos Iris ,OH,0,0,1,1,0.0,NED,ATTACK,0,0,16024,
12,21,Stuut Britte ,MB,0,0,0,0,,NED,ATTACK,0,0,16024,
13,25,Reesink Florien ,L,0,0,0,0,,NED,ATTACK,0,0,16024,
0,5,Knollema Jolien ,OH,4,0,6,10,40.0,NED,ATTACK,1,21,16024,0.0
1,16,Baijens Indy ,MB,4,1,4,9,33.33,NED,ATTACK,1,21,16024,0.0
2,23,Timmerman Eline ,MB,2,0,3,5,40.0,NED,ATTACK,1,21,16024,0.0
3,26,Dambrink Elles ,O,2,0,3,5,40.0,NED,ATTACK,1,21,16024,0.0
4,3,Jasper Hester ,OH,1,1,2,4,0.0,NED,ATTACK,1,21,16024,0.0
5,1,Knip Kirsten ,L,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
6,10,van Aalen Sarah ,S,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
7,13,de Haan Jolijn ,O,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
8,14,Dijkema Laura (C),S,0,0,1,1,0.0,NED,ATTACK,1,21,16024,0.0
9,17,Vos Iris ,OH,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
10,21,Stuut Britte ,MB,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
11,24,Mulder Vera ,OH,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
13,33,Marring Nova ,OH,0,0,0,0,,NED,ATTACK,1,21,16024,0.0
0,16,Baijens Indy ,MB,4,0,0,4,100.0,NED,ATTACK,2,22,16024,0.0
1,5,Knollema Jolien ,OH,3,1,7,11,18.18,NED,ATTACK,2,22,16024,0.0
2,23,Timmerman Eline ,MB,3,0,0,3,100.0,NED,ATTACK,2,22,16024,0.0
3,3,Jasper Hester ,OH,2,1,5,8,12.5,NED,ATTACK,2,22,16024,0.0
4,26,Dambrink Elles ,O,2,1,0,3,33.33,NED,ATTACK,2,22,16024,0.0
5,33,Marring Nova ,OH,2,0,1,3,66.67,NED,ATTACK,2,22,16024,0.0
6,10,van Aalen Sarah ,S,1,0,0,1,100.0,NED,ATTACK,2,22,16024,0.0
7,24,Mulder Vera ,OH,1,1,0,2,0.0,NED,ATTACK,2,22,16024,0.0
8,1,Knip Kirsten ,L,0,0,0,0,,NED,ATTACK,2,22,16024,0.0
9,13,de Haan Jolijn ,O,0,0,0,0,,NED,ATTACK,2,22,16024,0.0
10,14,Dijkema Laura (C),S,0,0,0,0,,NED,ATTACK,2,22,16024,0.0
11,17,Vos Iris ,OH,0,0,1,1,0.0,NED,ATTACK,2,22,16024,0.0
12,21,Stuut Britte ,MB,0,0,0,0,,NED,ATTACK,2,22,16024,0.0
13,25,Reesink Florien ,L,0,0,0,0,,NED,ATTACK,2,22,16024,0.0
0,23,Timmerman Eline ,MB,4,0,0,4,100.0,NED,ATTACK,3,25,16024,1.0
1,5,Knollema Jolien ,OH,3,1,5,9,22.22,NED,ATTACK,3,25,16024,1.0
2,3,Jasper Hester ,OH,2,3,2,7,-14.29,NED,ATTACK,3,25,16024,1.0
3,16,Baijens Indy ,MB,2,1,1,4,25.0,NED,ATTACK,3,25,16024,1.0
4,24,Mulder Vera ,OH,1,0,1,2,50.0,NED,ATTACK,3,25,16024,1.0
5,26,Dambrink Elles ,O,1,2,2,5,-20.0,NED,ATTACK,3,25,16024,1.0
6,33,Marring Nova ,OH,1,0,2,3,33.33,NED,ATTACK,3,25,16024,1.0
7,1,Knip Kirsten ,L,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
8,10,van Aalen Sarah ,S,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
9,13,de Haan Jolijn ,O,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
10,14,Dijkema Laura (C),S,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
11,17,Vos Iris ,OH,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
12,21,Stuut Britte ,MB,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
13,25,Reesink Florien ,L,0,0,0,0,,NED,ATTACK,3,25,16024,1.0
0,33,Marring Nova ,OH,5,1,4,10,40.0,NED,ATTACK,4,22,16024,0.0
1,16,Baijens Indy ,MB,4,1,1,6,50.0,NED,ATTACK,4,22,16024,0.0
2,24,Mulder Vera ,OH,2,2,3,7,0.0,NED,ATTACK,4,22,16024,0.0
3,5,Knollema Jolien ,OH,1,1,2,4,0.0,NED,ATTACK,4,22,16024,0.0
4,23,Timmerman Eline ,MB,1,0,1,2,50.0,NED,ATTACK,4,22,16024,0.0
5,1,Knip Kirsten ,L,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
6,3,Jasper Hester ,OH,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
7,10,van Aalen Sarah ,S,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
8,13,de Haan Jolijn ,O,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
9,14,Dijkema Laura (C),S,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
10,17,Vos Iris ,OH,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
11,21,Stuut Britte ,MB,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
12,25,Reesink Florien ,L,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
13,26,Dambrink Elles ,O,0,0,0,0,,NED,ATTACK,4,22,16024,0.0
0,15,Nwakalor Sylvia Chinelo ,O,19,5,17,41,34.15,ITA,ATTACK,0,0,16026,
1,21,Omoruyi Oghosasere Loveth ,OH,16,4,18,38,31.58,ITA,ATTACK,0,0,16026,
2,11,Danesi Anna ,MB,9,2,4,15,46.67,ITA,ATTACK,0,0,16026,
3,16,D'Odorico Sofia ,OH,8,2,7,17,35.29,ITA,ATTACK,0,0,16026,
4,2,Degradi Alice Carlotta ,OH,7,6,10,23,4.35,ITA,ATTACK,0,0,16026,
5,12,Mazzaro Alessia ,MB,7,1,7,15,40.0,ITA,ATTACK,0,0,16026,
6,32,Malual Adhuoljok John Majak ,O,4,4,5,13,0.0,ITA,ATTACK,0,0,16026,
7,4,Bosio Francesca ,S,1,0,0,1,100.0,ITA,ATTACK,0,0,16026,
8,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,0,0,16026,
9,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,0,0,16026,
10,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,0,0,16026,
11,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,0,0,16026,
12,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,0,0,16026,
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,0,0,16026,
0,15,Nwakalor Sylvia Chinelo ,O,6,2,3,11,36.36,ITA,ATTACK,1,24,16026,0.0
1,12,Mazzaro Alessia ,MB,3,0,2,5,60.0,ITA,ATTACK,1,24,16026,0.0
2,21,Omoruyi Oghosasere Loveth ,OH,3,1,5,9,22.22,ITA,ATTACK,1,24,16026,0.0
3,2,Degradi Alice Carlotta ,OH,2,3,1,6,-16.67,ITA,ATTACK,1,24,16026,0.0
4,11,Danesi Anna ,MB,1,0,1,2,50.0,ITA,ATTACK,1,24,16026,0.0
5,4,Bosio Francesca ,S,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
6,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
7,16,D'Odorico Sofia ,OH,0,1,0,1,-100.0,ITA,ATTACK,1,24,16026,0.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
9,19,Squarcini Federica ,MB,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,1,24,16026,0.0
